checking_status,duration_months,credit_history,purpose,credit_amount,savings_status,employment,installment_rate,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,credit_risk
0<=X<200,36,all_paid,education,2718,500<=X<1000,1<=X<4,3,male_married,co_applicant,4,real_estate,66,none,own,3,highly_skilled,1,no,yes,Good
0<=X<200,4,critical,education,14458,>=1000,<1,2,female_single,none,1,no_property,74,none,rent,1,management,2,no,yes,Bad
0<=X<200,24,no_credit,furniture,15292,>=1000,unemployed,1,female_married,none,2,car,26,none,own,4,unskilled,2,no,yes,Bad
no_account,58,critical,car,15889,100<=X<500,4<=X<7,1,male_single,none,4,real_estate,70,stores,rent,2,unskilled,2,no,no,Bad
no_account,9,critical,business,11796,<100,>=7,3,male_married,none,3,real_estate,58,none,free,4,unskilled,1,no,yes,Good
<0,8,all_paid,other,12577,500<=X<1000,>=7,2,male_single,none,1,no_property,59,none,free,3,management,1,yes,no,Bad
<0,6,no_credit,other,14520,>=1000,1<=X<4,3,male_married,none,3,car,30,none,rent,2,management,2,yes,no,Bad
no_account,56,all_paid,car,15773,100<=X<500,unemployed,1,female_married,none,2,no_property,32,stores,own,1,management,2,yes,no,Bad
0<=X<200,26,existing_paid,business,14550,unknown,4<=X<7,4,male_married,co_applicant,1,car,71,stores,rent,2,management,1,yes,no,Bad
0<=X<200,56,all_paid,other,11025,>=1000,unemployed,3,male_married,none,4,real_estate,22,stores,rent,2,management,2,no,no,Bad
<0,40,all_paid,car,12515,100<=X<500,>=7,4,male_married,none,2,life_insurance,46,none,free,2,unskilled,2,yes,yes,Bad
no_account,20,all_paid,other,19709,<100,unemployed,4,male_single,co_applicant,4,real_estate,52,bank,own,2,skilled,2,yes,yes,Bad
<0,4,no_credit,education,16923,<100,4<=X<7,2,female_single,co_applicant,1,life_insurance,44,none,rent,4,management,2,yes,yes,Bad
<0,54,all_paid,radio_tv,6864,>=1000,1<=X<4,3,male_single,guarantor,3,life_insurance,44,none,own,1,skilled,1,yes,no,Bad
>=200,48,no_credit,radio_tv,3502,>=1000,<1,4,female_single,none,2,car,25,stores,own,4,highly_skilled,2,yes,yes,Good
>=200,7,delayed,other,7665,500<=X<1000,unemployed,4,male_single,none,2,no_property,49,stores,rent,3,highly_skilled,2,no,no,Good
>=200,65,existing_paid,furniture,16912,100<=X<500,<1,2,female_married,none,4,car,37,none,own,3,management,2,no,yes,Bad
0<=X<200,68,no_credit,business,11366,>=1000,>=7,2,female_married,none,1,real_estate,27,none,free,2,highly_skilled,2,yes,no,Bad
no_account,35,delayed,business,17214,500<=X<1000,1<=X<4,1,male_married,guarantor,4,no_property,30,bank,free,4,skilled,1,yes,no,Bad
no_account,37,no_credit,business,5208,500<=X<1000,1<=X<4,4,female_married,co_applicant,1,life_insurance,46,bank,free,4,highly_skilled,2,yes,yes,Good
no_account,42,no_credit,education,4526,>=1000,unemployed,1,male_married,co_applicant,2,life_insurance,52,stores,free,1,highly_skilled,2,yes,no,Good
no_account,29,existing_paid,business,5026,<100,1<=X<4,4,female_single,none,1,real_estate,71,bank,own,1,skilled,2,no,yes,Good
>=200,37,critical,radio_tv,17458,100<=X<500,unemployed,1,female_married,none,2,no_property,25,bank,free,1,highly_skilled,2,yes,yes,Bad
0<=X<200,57,critical,education,4082,100<=X<500,unemployed,2,female_single,none,1,real_estate,46,stores,rent,4,management,2,no,yes,Bad
0<=X<200,6,no_credit,car,15151,<100,<1,3,male_single,guarantor,3,real_estate,48,bank,free,1,skilled,1,yes,no,Bad
>=200,53,all_paid,business,5695,>=1000,1<=X<4,2,female_single,guarantor,1,car,58,none,rent,1,skilled,2,no,no,Bad
0<=X<200,15,delayed,business,1630,100<=X<500,unemployed,1,male_single,co_applicant,3,real_estate,47,bank,rent,1,unskilled,2,no,no,Good
>=200,68,all_paid,car,10115,>=1000,<1,1,female_single,none,1,no_property,39,stores,free,2,unskilled,1,no,no,Bad
no_account,57,all_paid,business,14176,>=1000,4<=X<7,3,female_single,none,1,real_estate,38,none,free,3,skilled,2,yes,yes,Bad
>=200,8,no_credit,car,19790,500<=X<1000,<1,4,female_married,none,4,no_property,29,bank,own,3,skilled,1,yes,no,Bad
no_account,60,no_credit,education,11830,<100,<1,1,female_single,none,4,life_insurance,28,none,rent,4,unskilled,2,no,yes,Bad
no_account,20,no_credit,radio_tv,5884,>=1000,unemployed,1,female_married,guarantor,2,real_estate,19,none,free,4,management,1,yes,yes,Bad
<0,50,no_credit,car,6060,unknown,>=7,1,female_married,co_applicant,4,no_property,67,bank,own,2,highly_skilled,1,yes,no,Bad
>=200,26,critical,furniture,10429,<100,>=7,3,male_married,co_applicant,1,life_insurance,58,bank,free,3,highly_skilled,2,no,no,Good
<0,17,no_credit,car,12501,100<=X<500,>=7,2,male_married,guarantor,4,no_property,19,stores,free,1,highly_skilled,1,yes,yes,Bad
>=200,69,critical,business,13381,500<=X<1000,<1,1,male_single,none,1,life_insurance,51,stores,free,1,skilled,2,no,no,Bad
>=200,54,critical,education,19743,100<=X<500,unemployed,3,female_single,co_applicant,3,car,20,none,rent,4,management,1,yes,yes,Bad
<0,41,no_credit,other,12957,100<=X<500,1<=X<4,1,male_single,co_applicant,1,real_estate,33,stores,free,3,unskilled,1,yes,no,Bad
<0,67,existing_paid,education,19874,<100,<1,4,female_single,guarantor,2,real_estate,68,none,own,4,management,2,no,no,Bad
>=200,41,delayed,other,18483,100<=X<500,<1,3,male_married,none,3,life_insurance,21,none,free,4,management,1,no,yes,Bad
0<=X<200,53,all_paid,car,2999,>=1000,unemployed,1,male_married,co_applicant,2,car,40,stores,free,1,highly_skilled,2,no,yes,Bad
no_account,33,critical,radio_tv,13406,100<=X<500,4<=X<7,3,female_single,none,2,no_property,74,stores,own,1,unskilled,1,no,yes,Bad
<0,54,delayed,furniture,16839,500<=X<1000,<1,1,female_single,co_applicant,2,car,67,stores,own,3,management,1,yes,no,Bad
no_account,66,existing_paid,education,3700,500<=X<1000,4<=X<7,2,male_married,guarantor,4,no_property,37,bank,rent,4,unskilled,2,yes,no,Bad
0<=X<200,55,all_paid,business,7464,unknown,4<=X<7,1,male_married,none,2,no_property,42,none,rent,2,skilled,2,yes,no,Bad
0<=X<200,41,all_paid,other,12064,500<=X<1000,>=7,3,male_single,guarantor,3,real_estate,47,none,rent,3,highly_skilled,1,no,yes,Bad
0<=X<200,33,critical,business,5391,100<=X<500,unemployed,4,male_married,co_applicant,1,life_insurance,35,none,rent,4,unskilled,2,yes,yes,Good
<0,54,no_credit,radio_tv,2958,500<=X<1000,4<=X<7,4,female_single,guarantor,2,real_estate,59,stores,own,3,skilled,2,yes,no,Bad
0<=X<200,8,existing_paid,other,18625,<100,unemployed,4,male_single,guarantor,3,real_estate,28,stores,free,3,skilled,1,yes,yes,Bad
<0,32,critical,education,15338,500<=X<1000,>=7,1,female_single,guarantor,2,real_estate,46,stores,free,3,skilled,1,no,no,Bad
0<=X<200,7,existing_paid,car,12084,>=1000,unemployed,2,female_married,co_applicant,1,no_property,34,stores,free,2,management,2,no,yes,Bad
no_account,13,no_credit,business,12528,<100,<1,1,male_single,none,3,real_estate,43,stores,rent,2,management,1,yes,no,Bad
no_account,59,no_credit,radio_tv,10264,unknown,4<=X<7,4,female_single,guarantor,3,no_property,73,bank,own,1,highly_skilled,2,yes,no,Bad
>=200,20,critical,education,3523,>=1000,unemployed,3,male_married,none,1,life_insurance,74,stores,own,1,highly_skilled,2,no,no,Good
no_account,20,no_credit,education,14617,100<=X<500,1<=X<4,4,female_married,co_applicant,3,no_property,40,none,own,4,skilled,2,no,yes,Bad
>=200,37,delayed,education,4788,100<=X<500,unemployed,3,female_single,none,1,no_property,73,stores,free,3,highly_skilled,2,no,yes,Good
no_account,9,all_paid,education,12791,100<=X<500,4<=X<7,2,male_single,guarantor,3,car,69,none,rent,4,management,2,no,no,Bad
<0,56,critical,other,8962,>=1000,>=7,3,female_single,guarantor,3,real_estate,65,stores,own,1,highly_skilled,2,yes,no,Bad
no_account,69,existing_paid,education,9418,>=1000,>=7,1,female_married,guarantor,1,real_estate,37,stores,rent,2,unskilled,1,no,no,Bad
>=200,46,delayed,business,3801,>=1000,4<=X<7,1,male_single,guarantor,1,real_estate,62,none,own,1,management,2,yes,no,Good
>=200,26,critical,radio_tv,12547,<100,<1,1,female_married,guarantor,3,real_estate,19,none,rent,4,skilled,1,no,no,Bad
0<=X<200,58,no_credit,other,11215,<100,<1,3,female_single,guarantor,3,car,41,none,own,1,skilled,2,yes,no,Bad
<0,19,no_credit,education,3082,100<=X<500,>=7,1,male_married,co_applicant,1,car,48,none,rent,4,highly_skilled,1,yes,yes,Good
no_account,11,no_credit,furniture,13672,500<=X<1000,>=7,1,male_married,co_applicant,4,car,44,bank,own,4,management,1,no,yes,Bad
0<=X<200,7,no_credit,furniture,402,100<=X<500,4<=X<7,1,female_single,co_applicant,1,car,19,none,own,4,skilled,1,yes,yes,Bad
no_account,7,existing_paid,radio_tv,11406,unknown,<1,2,female_single,none,3,real_estate,74,stores,rent,4,skilled,2,yes,yes,Good
no_account,59,delayed,car,11358,<100,>=7,3,female_single,none,3,no_property,31,stores,rent,1,management,1,yes,no,Bad
0<=X<200,28,all_paid,car,3050,>=1000,<1,3,male_single,co_applicant,3,life_insurance,21,bank,free,4,management,1,no,no,Bad
0<=X<200,70,existing_paid,other,5560,<100,>=7,4,female_married,none,1,car,66,none,rent,4,skilled,2,no,no,Bad
0<=X<200,70,existing_paid,other,10194,>=1000,unemployed,3,female_married,none,3,no_property,30,stores,own,3,highly_skilled,1,no,yes,Bad
0<=X<200,30,all_paid,other,2860,unknown,1<=X<4,2,female_married,guarantor,4,car,53,bank,own,4,highly_skilled,1,yes,yes,Good
0<=X<200,35,all_paid,car,12317,unknown,unemployed,3,female_single,guarantor,2,real_estate,52,stores,rent,1,highly_skilled,2,yes,no,Bad
no_account,53,no_credit,furniture,1354,<100,>=7,2,female_married,none,4,real_estate,61,bank,free,4,unskilled,1,yes,yes,Bad
0<=X<200,64,existing_paid,car,10978,>=1000,1<=X<4,2,female_single,none,1,no_property,71,bank,rent,2,management,1,yes,yes,Bad
<0,54,critical,business,7513,unknown,1<=X<4,3,male_single,co_applicant,3,no_property,72,none,own,2,skilled,2,no,no,Bad
>=200,22,all_paid,education,2164,100<=X<500,>=7,4,male_married,none,1,no_property,25,bank,own,4,unskilled,1,yes,no,Good
0<=X<200,24,all_paid,other,19706,100<=X<500,>=7,1,female_single,guarantor,2,real_estate,19,stores,free,2,highly_skilled,1,yes,no,Bad
0<=X<200,8,delayed,furniture,656,>=1000,<1,1,female_single,none,1,real_estate,23,stores,rent,2,unskilled,1,yes,yes,Bad
no_account,45,critical,radio_tv,13939,<100,>=7,3,male_married,co_applicant,3,life_insurance,48,none,own,1,skilled,1,no,no,Bad
0<=X<200,64,critical,radio_tv,416,unknown,4<=X<7,3,male_married,guarantor,2,no_property,71,none,own,3,skilled,2,yes,no,Bad
0<=X<200,25,all_paid,education,758,<100,>=7,2,male_single,guarantor,2,life_insurance,27,bank,own,2,management,2,no,no,Good
0<=X<200,24,no_credit,furniture,18295,100<=X<500,4<=X<7,3,female_married,guarantor,3,car,61,none,rent,2,highly_skilled,2,no,yes,Bad
no_account,4,delayed,car,3914,unknown,>=7,2,female_single,guarantor,3,life_insurance,38,stores,rent,3,highly_skilled,2,yes,yes,Good
0<=X<200,8,critical,car,13300,<100,<1,4,female_married,none,3,car,59,stores,free,3,unskilled,1,yes,no,Bad
>=200,15,all_paid,business,930,500<=X<1000,4<=X<7,3,female_single,co_applicant,1,car,27,none,own,2,highly_skilled,2,yes,no,Good
no_account,49,critical,business,19158,>=1000,unemployed,1,male_single,none,4,life_insurance,40,none,own,4,unskilled,2,yes,yes,Bad
>=200,37,delayed,car,18754,>=1000,4<=X<7,1,male_married,none,1,no_property,20,none,free,2,skilled,1,no,yes,Bad
no_account,52,delayed,radio_tv,4607,500<=X<1000,<1,3,male_single,guarantor,1,car,49,bank,own,4,skilled,1,no,no,Bad
0<=X<200,48,existing_paid,other,1613,100<=X<500,4<=X<7,2,male_married,co_applicant,4,no_property,37,bank,free,4,skilled,1,no,yes,Good
>=200,30,all_paid,radio_tv,9773,unknown,>=7,1,female_married,guarantor,3,real_estate,27,stores,free,4,skilled,2,no,no,Good
no_account,29,delayed,business,2542,>=1000,>=7,2,female_married,none,3,car,46,bank,own,3,skilled,1,no,no,Good
<0,50,existing_paid,education,1788,500<=X<1000,<1,3,male_single,none,4,real_estate,58,bank,rent,2,unskilled,1,no,yes,Bad
0<=X<200,59,existing_paid,car,3658,500<=X<1000,1<=X<4,3,male_married,guarantor,4,life_insurance,69,bank,rent,2,skilled,1,no,no,Bad
no_account,66,critical,business,9002,100<=X<500,>=7,1,male_single,none,1,no_property,68,bank,rent,1,unskilled,2,no,no,Bad
<0,51,critical,business,18537,100<=X<500,unemployed,3,male_married,none,2,life_insurance,63,stores,rent,3,skilled,2,no,yes,Bad
no_account,64,existing_paid,other,424,<100,<1,4,male_married,guarantor,4,car,51,none,own,1,unskilled,2,no,no,Bad
<0,29,critical,car,2480,>=1000,4<=X<7,4,female_married,none,1,real_estate,54,stores,free,1,unskilled,2,yes,yes,Good
0<=X<200,39,delayed,other,4537,<100,4<=X<7,1,female_married,co_applicant,2,car,37,bank,free,4,unskilled,2,yes,no,Good
>=200,4,no_credit,car,12362,500<=X<1000,unemployed,4,male_married,guarantor,3,life_insurance,25,none,own,3,highly_skilled,2,yes,no,Bad
<0,11,delayed,other,7356,unknown,>=7,2,male_married,co_applicant,3,no_property,24,none,rent,1,unskilled,2,no,yes,Bad
no_account,55,existing_paid,radio_tv,9939,unknown,<1,1,male_married,none,1,no_property,23,none,free,2,unskilled,1,yes,yes,Bad
0<=X<200,50,existing_paid,education,12296,100<=X<500,unemployed,1,female_married,none,1,car,28,stores,own,1,skilled,1,no,yes,Bad
<0,59,delayed,education,19805,unknown,>=7,2,female_married,guarantor,4,car,61,none,own,3,unskilled,1,no,yes,Bad
no_account,17,critical,car,18201,unknown,<1,4,female_single,none,3,real_estate,35,stores,rent,2,unskilled,2,yes,yes,Bad
no_account,31,critical,furniture,1401,unknown,4<=X<7,4,male_married,guarantor,1,life_insurance,68,stores,own,2,management,2,no,yes,Good
no_account,5,existing_paid,business,7869,500<=X<1000,<1,4,female_single,guarantor,3,car,59,bank,free,2,highly_skilled,1,yes,no,Good
<0,29,all_paid,business,6283,unknown,1<=X<4,1,male_married,guarantor,3,real_estate,74,bank,free,4,management,1,no,yes,Good
<0,17,critical,car,8810,unknown,<1,1,female_married,guarantor,4,car,46,none,own,2,skilled,2,no,no,Good
<0,62,delayed,other,5196,unknown,1<=X<4,4,female_single,guarantor,2,no_property,42,none,free,4,highly_skilled,2,yes,yes,Bad
>=200,59,critical,furniture,2157,<100,<1,3,female_single,co_applicant,4,real_estate,38,bank,own,4,highly_skilled,2,yes,no,Bad
<0,10,delayed,radio_tv,3740,500<=X<1000,1<=X<4,4,male_single,guarantor,1,real_estate,63,stores,free,1,management,2,yes,no,Good
<0,6,existing_paid,other,19169,100<=X<500,4<=X<7,2,male_married,co_applicant,4,car,20,stores,rent,1,highly_skilled,2,yes,yes,Bad
<0,26,critical,other,4423,<100,>=7,1,female_married,none,4,life_insurance,35,bank,free,2,management,2,yes,no,Good
>=200,21,delayed,car,11315,>=1000,1<=X<4,2,male_single,guarantor,3,no_property,41,stores,rent,3,unskilled,2,yes,no,Good
<0,41,existing_paid,car,17927,500<=X<1000,1<=X<4,2,male_single,none,4,life_insurance,64,bank,rent,2,management,2,no,no,Bad
no_account,18,all_paid,business,5019,500<=X<1000,4<=X<7,1,male_married,guarantor,1,real_estate,55,bank,own,1,highly_skilled,1,no,yes,Good
<0,67,delayed,car,5046,>=1000,1<=X<4,3,male_single,co_applicant,2,life_insurance,27,none,rent,2,highly_skilled,2,no,yes,Bad
no_account,31,all_paid,car,13296,>=1000,unemployed,4,male_married,co_applicant,4,real_estate,44,none,free,1,skilled,2,no,no,Bad
no_account,42,all_paid,car,14461,>=1000,4<=X<7,2,male_single,co_applicant,4,life_insurance,29,bank,free,2,skilled,2,yes,yes,Bad
no_account,60,no_credit,business,19606,100<=X<500,unemployed,1,male_married,none,2,car,24,none,rent,3,skilled,1,no,yes,Bad
>=200,20,critical,radio_tv,5247,unknown,4<=X<7,2,female_married,guarantor,1,life_insurance,34,bank,own,2,skilled,1,no,no,Good
>=200,47,delayed,radio_tv,17626,500<=X<1000,1<=X<4,4,male_married,none,1,real_estate,18,stores,rent,3,highly_skilled,2,yes,no,Bad
>=200,28,all_paid,car,8362,unknown,unemployed,3,male_married,co_applicant,4,no_property,67,stores,free,3,skilled,1,no,yes,Good
<0,20,no_credit,business,5537,unknown,1<=X<4,3,female_single,none,3,no_property,43,stores,free,2,management,1,yes,yes,Good
no_account,16,existing_paid,radio_tv,10828,>=1000,4<=X<7,3,female_married,co_applicant,4,no_property,32,stores,rent,3,unskilled,1,yes,yes,Good
>=200,28,delayed,other,18874,100<=X<500,1<=X<4,1,female_married,co_applicant,2,real_estate,68,bank,rent,3,highly_skilled,2,yes,no,Bad
>=200,71,all_paid,radio_tv,18110,<100,unemployed,1,female_married,co_applicant,2,life_insurance,50,stores,rent,1,skilled,2,no,yes,Bad
<0,13,critical,radio_tv,6676,100<=X<500,unemployed,3,male_single,guarantor,2,no_property,54,stores,free,1,highly_skilled,2,yes,yes,Good
>=200,70,no_credit,business,11849,unknown,1<=X<4,4,female_single,guarantor,4,no_property,64,stores,free,3,skilled,2,no,yes,Bad
<0,21,all_paid,other,639,100<=X<500,<1,4,female_married,co_applicant,4,no_property,48,stores,free,4,highly_skilled,2,no,no,Good
0<=X<200,37,critical,business,1249,>=1000,4<=X<7,1,male_single,none,1,car,52,bank,own,2,skilled,2,no,no,Good
>=200,11,all_paid,car,13062,<100,4<=X<7,3,male_single,none,3,real_estate,18,stores,free,3,unskilled,2,yes,no,Bad
0<=X<200,43,delayed,education,15849,>=1000,1<=X<4,4,male_single,guarantor,4,real_estate,25,none,free,2,skilled,1,yes,yes,Bad
<0,45,delayed,radio_tv,2105,<100,<1,4,female_single,co_applicant,1,real_estate,29,none,own,1,management,2,yes,yes,Good
no_account,44,delayed,education,8375,unknown,unemployed,4,male_single,none,4,real_estate,71,none,own,2,highly_skilled,2,no,no,Good
>=200,9,no_credit,business,14044,<100,>=7,1,female_single,co_applicant,1,real_estate,74,none,own,3,highly_skilled,2,no,yes,Bad
<0,55,delayed,business,3013,<100,>=7,3,male_married,none,1,car,36,none,own,3,management,2,yes,yes,Bad
no_account,29,critical,business,5236,<100,1<=X<4,2,male_single,guarantor,3,life_insurance,42,none,own,3,management,2,no,yes,Good
no_account,67,all_paid,education,1731,100<=X<500,<1,3,female_married,co_applicant,4,car,74,bank,own,3,unskilled,2,yes,no,Bad
0<=X<200,62,existing_paid,business,3981,100<=X<500,<1,3,male_single,co_applicant,1,no_property,49,none,rent,4,highly_skilled,2,yes,yes,Bad
<0,59,critical,car,17085,unknown,4<=X<7,1,male_married,none,2,car,29,stores,rent,4,unskilled,2,no,yes,Bad
no_account,62,critical,business,19727,<100,unemployed,4,male_married,none,2,real_estate,30,none,rent,4,highly_skilled,1,no,no,Bad
>=200,36,delayed,furniture,17516,500<=X<1000,<1,4,male_single,none,2,car,45,bank,rent,3,highly_skilled,1,yes,yes,Bad
>=200,56,no_credit,education,11008,unknown,>=7,1,male_married,co_applicant,3,real_estate,18,none,free,4,unskilled,2,no,no,Bad
0<=X<200,25,all_paid,furniture,19911,<100,unemployed,1,female_single,guarantor,1,car,68,stores,own,2,highly_skilled,2,yes,yes,Bad
no_account,24,no_credit,business,16561,<100,unemployed,1,female_single,guarantor,3,real_estate,23,stores,free,3,highly_skilled,1,yes,no,Bad
<0,7,all_paid,car,8816,100<=X<500,1<=X<4,1,male_single,none,4,no_property,25,bank,own,1,unskilled,2,no,no,Good
>=200,65,all_paid,radio_tv,12139,unknown,<1,1,female_single,guarantor,4,real_estate,21,bank,own,3,skilled,2,yes,yes,Bad
no_account,65,no_credit,other,11504,<100,1<=X<4,2,female_single,none,1,car,22,bank,free,2,unskilled,1,no,yes,Bad
no_account,27,critical,other,11692,<100,<1,3,female_married,guarantor,2,no_property,42,bank,rent,4,highly_skilled,2,yes,no,Good
0<=X<200,58,all_paid,business,13771,unknown,4<=X<7,3,male_single,co_applicant,1,car,39,none,free,3,management,2,no,yes,Bad
>=200,12,no_credit,car,4809,500<=X<1000,1<=X<4,3,male_married,none,1,no_property,45,none,free,4,skilled,2,no,no,Good
>=200,6,all_paid,education,16449,unknown,1<=X<4,4,male_single,guarantor,1,life_insurance,56,stores,own,3,management,1,yes,yes,Bad
<0,34,existing_paid,furniture,7541,unknown,>=7,2,female_single,co_applicant,3,life_insurance,40,bank,own,2,skilled,1,no,yes,Good
>=200,43,critical,furniture,8410,500<=X<1000,1<=X<4,3,female_married,guarantor,4,life_insurance,21,bank,own,3,management,2,no,yes,Bad
<0,39,delayed,furniture,362,unknown,<1,4,male_single,co_applicant,1,car,69,none,rent,4,skilled,1,yes,yes,Good
>=200,27,all_paid,education,19831,<100,>=7,2,male_single,co_applicant,1,car,21,bank,free,4,unskilled,1,no,no,Bad
0<=X<200,9,existing_paid,other,16174,unknown,1<=X<4,2,female_single,guarantor,1,no_property,64,stores,free,2,skilled,1,yes,no,Bad
>=200,69,delayed,car,16773,500<=X<1000,1<=X<4,4,female_single,guarantor,3,no_property,38,stores,rent,3,skilled,2,no,yes,Bad
<0,7,delayed,education,1674,>=1000,4<=X<7,2,male_single,co_applicant,3,no_property,54,bank,free,1,skilled,1,yes,yes,Good
<0,9,all_paid,furniture,19583,unknown,1<=X<4,4,female_single,co_applicant,3,no_property,73,stores,free,3,highly_skilled,1,yes,yes,Bad
0<=X<200,54,no_credit,business,19802,100<=X<500,unemployed,3,female_single,co_applicant,1,real_estate,58,stores,own,2,management,1,yes,yes,Bad
>=200,65,all_paid,radio_tv,11058,<100,>=7,4,female_single,none,2,life_insurance,19,none,rent,1,unskilled,2,yes,yes,Bad
>=200,60,existing_paid,education,6293,<100,unemployed,2,female_single,co_applicant,2,real_estate,24,stores,own,2,management,1,no,no,Bad
0<=X<200,69,delayed,education,7239,100<=X<500,>=7,3,female_single,none,2,real_estate,66,bank,rent,3,management,1,yes,no,Bad
>=200,11,all_paid,car,6511,100<=X<500,4<=X<7,3,female_married,co_applicant,4,real_estate,33,bank,own,1,unskilled,2,no,yes,Good
>=200,29,no_credit,car,1137,unknown,1<=X<4,1,female_single,none,1,real_estate,34,stores,free,2,highly_skilled,1,yes,no,Good
<0,54,all_paid,education,19738,100<=X<500,1<=X<4,1,male_married,co_applicant,2,life_insurance,37,bank,rent,4,skilled,1,no,no,Bad
>=200,48,critical,furniture,16683,>=1000,1<=X<4,2,male_single,co_applicant,2,real_estate,40,none,rent,1,highly_skilled,1,yes,yes,Bad
>=200,47,no_credit,radio_tv,16652,500<=X<1000,>=7,4,female_married,co_applicant,2,no_property,51,stores,own,1,highly_skilled,2,no,no,Bad
0<=X<200,8,existing_paid,car,12503,100<=X<500,1<=X<4,4,female_married,guarantor,1,car,28,stores,rent,2,skilled,2,no,no,Bad
0<=X<200,29,delayed,furniture,19240,100<=X<500,unemployed,2,female_single,guarantor,2,no_property,51,stores,free,4,management,1,yes,no,Bad
no_account,71,all_paid,business,8096,>=1000,1<=X<4,3,male_single,co_applicant,2,car,50,bank,free,1,skilled,1,yes,no,Bad
<0,22,no_credit,car,6682,<100,4<=X<7,2,male_married,none,1,no_property,43,bank,free,2,unskilled,1,yes,yes,Good
>=200,23,critical,furniture,13702,<100,unemployed,2,female_single,none,4,no_property,19,stores,own,1,skilled,1,no,no,Bad
>=200,15,no_credit,furniture,13645,unknown,1<=X<4,3,male_single,co_applicant,3,car,40,bank,rent,1,management,1,no,no,Bad
no_account,50,critical,radio_tv,4015,>=1000,1<=X<4,4,female_single,guarantor,2,life_insurance,58,bank,own,1,highly_skilled,1,no,no,Bad
