id,year,loan_limit,gender,approv_in_adv,loan_type,loan_purpose,credit_worthiness,open_credit,business_or_commercial,loan_amount,term,neg_ammortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,secured_by,total_units,income,credit_type,credit_score,co-applicant_credit_type,age,submission_of_application,ltv,region,security_type,status,dtir1,ltv_band,income_loan_ratio,credit_risk_score,property_loan_gap,high_risk_flag
24900,2019,0,2,0,1,2,1,0,0,136500,300.0,0,1,1,168000.0,1,1,0,0,4020.0,3,723,0,3,1,81.25,0,1,1,44.0,2,33.94677940810744,0.0,31500.0,1
24901,2019,0,3,0,0,2,0,0,1,466500,360.0,1,1,1,708000.0,1,1,0,0,9540.0,3,501,1,1,1,65.88983051,3,1,0,36.0,1,48.894245886175455,0.0,241500.0,1
24902,2019,0,1,0,1,2,0,0,0,206500,360.0,1,1,1,258000.0,1,1,0,0,3780.0,1,884,1,4,1,80.03875969,0,1,1,51.0,2,54.61518116900291,0.0,51500.0,1
24903,2019,0,1,0,1,3,0,0,0,436500,360.0,1,1,1,508000.0,1,1,0,0,5760.0,1,520,1,3,1,85.92519685,0,1,0,39.0,2,75.76809581669849,0.0,71500.0,1
24904,2019,0,0,0,0,3,0,0,1,226500,360.0,1,1,1,298000.0,1,1,0,0,7860.0,0,773,0,1,1,76.00671141,0,1,0,39.0,2,28.81312810075054,0.0,71500.0,1
24905,2019,0,2,0,0,3,0,0,1,76500,360.0,1,1,1,138000.0,1,1,0,0,2220.0,3,685,0,2,0,55.43478261,0,1,1,20.0,0,34.44394416929311,0.0,61500.0,1
24906,2019,0,1,0,1,0,0,0,0,356500,360.0,0,1,1,368000.0,1,1,0,0,5340.0,1,846,1,0,0,96.875,0,1,1,44.0,3,66.74780003744617,0.0,11500.0,1
24907,2019,0,2,1,0,2,0,0,1,156500,360.0,0,1,1,168000.0,1,1,0,0,3120.0,1,534,0,4,1,93.1547619,0,1,1,44.0,3,50.14418455623198,0.0,11500.0,1
24908,2019,0,0,0,0,0,0,0,1,406500,360.0,1,1,1,598000.0,1,1,0,0,5340.0,0,629,0,2,0,67.97658863,0,1,0,44.0,1,76.10934281969669,0.0,191500.0,1
24909,2019,0,3,0,0,3,0,0,1,586500,360.0,1,1,1,748000.0,1,2,0,0,12540.0,0,688,1,3,1,78.40909091,3,1,0,31.0,2,46.766605533848974,0.0,161500.0,1
24910,2019,0,1,0,0,2,0,0,1,306500,180.0,1,1,1,558000.0,1,1,0,0,16860.0,3,668,1,4,1,54.92831541,0,1,0,6.0,0,18.17804400687978,22.29,251500.0,1
24911,2019,0,0,0,0,2,0,0,1,136500,360.0,1,1,1,198000.0,1,1,0,0,2100.0,3,758,0,6,1,68.93939394,0,1,0,36.0,1,64.9690623512613,0.0,61500.0,1
24912,2019,0,2,1,0,2,0,0,1,306500,360.0,1,1,1,448000.0,1,1,0,0,2880.0,3,692,0,3,1,68.41517857,3,1,1,44.0,1,106.38667129468935,0.0,141500.0,1
24913,2019,0,0,0,0,2,0,0,1,316500,360.0,1,1,1,508000.0,1,1,0,0,2760.0,0,620,0,4,0,62.30314961,3,1,0,44.0,1,114.63237957261862,0.0,191500.0,1
24914,2019,0,2,0,0,2,1,0,1,336500,360.0,1,1,1,428000.0,1,1,0,0,4980.0,0,846,0,1,0,78.62149533,3,1,0,35.0,2,67.5567155189721,0.0,91500.0,1
24915,2019,0,1,0,0,2,0,0,1,426500,360.0,1,1,1,568000.0,1,1,0,0,8940.0,3,533,1,2,0,75.08802817,0,1,0,34.0,2,47.70159937367185,0.0,141500.0,1
24916,2019,0,1,0,2,0,0,0,1,476500,360.0,1,1,1,418000.0,1,1,0,0,6780.0,2,518,1,2,1,75.13586957,3,1,1,39.0,2,70.26987170033918,0.0,-58500.0,1
24917,2019,0,3,0,0,3,0,0,1,196500,360.0,1,1,1,258000.0,1,1,0,0,3840.0,3,812,1,0,1,76.1627907,3,1,0,49.0,2,51.1585524602968,0.0,61500.0,1
24918,2019,0,0,0,0,0,0,0,1,186500,360.0,1,1,1,218000.0,1,1,0,0,3840.0,1,534,0,3,1,85.55045872,2,1,0,46.0,2,48.555063785472534,0.0,31500.0,1
24919,2019,0,0,0,0,0,0,0,1,436500,360.0,1,1,1,468000.0,1,1,0,0,4920.0,0,647,1,1,0,93.26923077,3,1,0,42.0,3,88.70148343832554,0.0,31500.0,1
24920,2019,0,2,0,1,0,0,0,0,246500,360.0,1,1,1,258000.0,1,1,0,0,5400.0,3,683,0,0,0,95.54263566,0,1,0,39.0,3,45.63969635252731,0.0,11500.0,1
24921,2019,0,2,0,2,3,0,0,1,216500,360.0,1,1,1,228000.0,1,1,0,0,5760.0,0,705,0,3,1,94.95614035,0,1,0,39.0,3,37.58028120118035,0.0,11500.0,1
24922,2019,0,2,0,0,0,0,0,1,306500,360.0,1,1,1,318000.0,1,1,0,0,5580.0,3,701,0,1,0,96.3836478,0,1,0,37.0,3,54.918473391865255,0.0,11500.0,1
24923,2019,0,2,1,0,0,0,0,1,316500,360.0,1,0,1,338000.0,1,1,0,0,3720.0,3,591,0,2,1,93.63905325,0,1,0,41.0,3,85.05778016662188,0.0,21500.0,1
24924,2019,0,2,1,0,0,0,0,1,506500,360.0,1,1,1,538000.0,1,1,0,0,7500.0,0,647,0,0,0,94.14498141,0,1,0,36.0,3,67.52433008932142,0.0,31500.0,1
24925,2019,0,0,0,0,2,0,0,1,266500,360.0,1,1,1,408000.0,1,1,0,0,3540.0,3,889,0,2,0,65.31862745,3,1,0,40.0,1,75.26122564247387,0.0,141500.0,1
24926,2019,0,2,0,0,0,0,0,1,406500,360.0,1,1,1,1018000.0,1,0,0,0,9180.0,3,651,0,3,0,39.93123772,3,1,0,38.0,0,44.27622263370003,0.0,611500.0,1
24927,2019,0,1,0,0,3,0,0,1,656500,360.0,1,1,1,1108000.0,1,1,0,0,9660.0,3,716,1,2,0,59.25090253,0,1,0,42.0,0,67.95362798882103,0.0,451500.0,1
24928,2019,1,2,1,0,3,0,0,1,256500,180.0,1,1,1,418000.0,1,1,0,0,3780.0,3,780,1,4,1,61.36363636,2,1,1,45.0,1,67.8391959798995,0.0,161500.0,1
24929,2019,0,2,0,0,3,0,0,1,396500,360.0,1,1,1,418000.0,1,1,0,0,7560.0,1,799,0,1,0,94.85645933,0,1,1,42.0,3,52.440153418859936,0.0,21500.0,1
24930,2019,0,2,0,0,2,0,0,1,396500,360.0,1,1,1,528000.0,1,1,0,0,9060.0,3,766,0,1,1,75.09469697,3,1,0,30.0,2,43.75896700143472,0.0,131500.0,1
24931,2019,0,0,1,1,2,0,0,0,166500,360.0,1,1,1,198000.0,1,1,0,0,3480.0,0,868,0,1,1,84.09090909,2,1,0,56.0,2,47.83108302212008,0.0,31500.0,1
24932,2019,0,2,0,2,3,0,0,1,466500,360.0,1,1,1,418000.0,1,1,0,0,0.0,2,765,1,2,1,75.13586957,0,1,1,39.0,2,466500.0,0.0,-48500.0,1
24933,2019,0,2,0,1,3,0,0,0,236500,360.0,1,1,1,248000.0,1,1,0,0,3120.0,1,673,0,1,1,95.36290323,2,1,1,38.0,3,75.77699455302788,0.0,11500.0,1
24934,2019,1,3,0,0,3,0,0,1,866500,360.0,0,1,1,1508000.0,1,1,0,0,13620.0,1,876,1,1,0,57.4602122,3,1,1,44.0,0,63.615006240364146,0.0,641500.0,1
24935,2019,0,1,0,0,3,0,0,1,416500,360.0,1,1,1,528000.0,1,1,0,0,7380.0,1,886,1,2,0,78.88257576,0,1,0,39.0,2,56.42866820214063,0.0,111500.0,1
24936,2019,0,3,0,1,2,0,0,0,436500,360.0,1,1,1,508000.0,1,1,0,0,4920.0,1,772,1,3,1,85.92519685,3,1,0,38.0,2,88.70148343832554,0.0,71500.0,1
24937,2019,1,1,0,0,2,0,0,1,356500,360.0,1,1,1,608000.0,1,1,0,0,3720.0,1,640,1,3,0,58.63486842,0,1,0,49.0,0,95.8075786079011,0.0,251500.0,1
24938,2019,0,2,0,2,3,0,0,1,386500,360.0,1,1,1,428000.0,1,1,0,0,5760.0,0,798,0,2,0,90.30373832,3,1,0,39.0,3,67.08904704044437,0.0,41500.0,1
24939,2019,0,0,0,0,0,0,0,1,596500,360.0,1,1,1,668000.0,1,1,0,0,6780.0,1,858,1,0,0,89.29640719,0,1,0,39.0,2,87.96637664061348,0.0,71500.0,1
24940,2019,0,3,0,0,2,0,0,1,196500,312.0,1,1,1,338000.0,1,1,0,0,9060.0,0,543,1,0,1,58.13609467,3,1,0,30.0,0,21.686348085200308,0.0,141500.0,1
24941,2019,0,2,0,0,3,0,0,1,206500,180.0,1,1,1,708000.0,1,1,0,0,9600.0,3,846,0,4,1,29.16666667,0,1,0,23.0,0,21.508176231642537,35.32,501500.0,1
24942,2019,0,1,0,2,2,0,0,1,136500,360.0,1,1,1,418000.0,1,1,0,0,3360.0,2,555,1,4,1,75.13586957,0,1,1,39.0,2,40.612912823564415,0.0,281500.0,1
24943,2019,1,0,0,0,2,0,0,1,166500,360.0,1,1,1,418000.0,1,1,0,0,4560.0,2,603,1,4,1,75.13586957,0,1,1,39.0,2,36.50515237886428,0.0,251500.0,1
24944,2019,0,1,0,0,0,0,0,1,606500,360.0,1,1,1,808000.0,1,0,0,0,22500.0,3,808,1,1,0,75.06188119,2,1,0,28.0,2,26.954357584107374,6.38,201500.0,1
24945,2019,0,3,0,1,3,0,0,0,86500,360.0,1,1,1,948000.0,1,1,0,0,3300.0,0,519,1,3,1,9.124472574,3,1,1,31.0,0,26.204180551348077,2.12,861500.0,1
24946,2019,1,0,0,0,1,0,0,1,116500,180.0,1,1,1,128000.0,1,0,0,0,4140.0,0,786,1,2,0,91.015625,3,1,1,11.0,3,28.133301134991548,0.74,11500.0,1
24947,2019,0,2,1,0,2,0,0,1,426500,180.0,1,1,1,598000.0,1,1,0,0,6000.0,0,769,0,2,0,71.32107023,3,1,0,42.0,1,71.07148808531912,0.0,171500.0,1
24948,2019,1,2,1,0,2,0,0,1,166500,144.0,1,1,1,238000.0,1,1,0,0,6600.0,1,685,0,1,1,69.95798319,0,1,0,30.0,1,25.223450992273897,0.36,71500.0,1
24949,2019,0,3,1,0,2,0,0,1,426500,180.0,1,1,1,608000.0,1,1,0,0,11340.0,1,556,0,1,1,70.14802632,3,1,0,27.0,1,37.60691297063751,0.0,181500.0,1
24950,2019,0,2,0,0,3,0,0,1,376500,360.0,0,1,1,718000.0,1,1,0,0,7080.0,3,567,0,4,0,52.43732591,0,1,0,20.0,0,53.17045615026126,0.0,341500.0,1
24951,2019,0,2,0,1,0,0,0,0,286500,360.0,1,1,1,298000.0,1,1,0,0,4800.0,0,632,0,1,0,96.1409396,0,1,0,31.0,3,59.67506769423037,0.0,11500.0,1
24952,2019,0,1,0,0,3,0,0,1,706500,360.0,1,1,1,888000.0,1,1,0,0,8520.0,0,818,1,1,0,79.56081081,3,1,0,40.0,2,82.91280366154207,0.0,181500.0,1
24953,2019,0,3,0,1,3,0,0,0,146500,360.0,1,1,1,148000.0,1,1,0,0,2760.0,3,584,0,5,1,98.98648649,3,1,0,55.0,3,53.060485331401665,0.0,1500.0,1
24954,2019,0,1,0,0,2,0,0,1,446500,240.0,1,1,1,628000.0,1,1,0,0,7140.0,3,750,1,3,1,71.09872611,0,1,0,34.0,1,62.52625682677496,0.0,181500.0,1
24955,2019,0,2,0,0,3,0,0,1,286500,360.0,1,1,1,608000.0,1,1,0,0,5820.0,3,808,0,3,1,47.12171053,3,1,0,22.0,0,49.21834736299605,0.0,321500.0,1
24956,2019,0,1,0,2,2,0,0,1,166500,360.0,1,1,1,418000.0,1,1,0,0,2100.0,2,838,1,4,0,75.13586957,0,1,1,39.0,2,79.24797715373631,0.0,251500.0,1
24957,2019,0,0,0,1,3,0,0,0,636500,360.0,1,0,1,658000.0,1,1,0,0,12000.0,0,741,0,4,1,96.7325228,3,1,1,36.0,3,53.03724689609199,0.0,21500.0,1
24958,2019,0,0,0,1,2,0,0,0,226500,360.0,1,1,1,258000.0,1,1,0,0,3720.0,1,820,0,0,0,87.79069767,0,1,0,40.0,2,60.870733673743615,0.0,31500.0,1
24959,2019,0,3,0,0,2,1,0,1,316500,360.0,1,1,1,928000.0,1,1,0,0,5880.0,1,665,0,4,1,34.10560345,3,1,0,24.0,0,53.8173779969393,0.0,611500.0,1
24960,2019,0,3,0,0,2,0,0,1,156500,360.0,1,1,1,208000.0,1,1,0,0,3300.0,1,783,1,6,1,75.24038462,3,1,0,30.0,2,47.40987579521357,0.0,51500.0,1
24961,2019,0,2,0,0,0,1,0,1,706500,360.0,1,1,1,748000.0,1,1,0,0,8400.0,3,663,0,1,0,94.45187166,3,1,0,46.0,3,84.09713129389358,0.0,41500.0,1
24962,2019,0,0,0,0,2,0,0,1,196500,240.0,1,1,1,318000.0,1,1,0,0,5520.0,3,612,0,4,1,61.79245283,0,1,0,30.0,1,35.59137837348307,0.0,121500.0,1
24963,2019,0,2,0,2,0,0,0,1,166500,360.0,1,1,1,168000.0,1,1,0,0,2040.0,1,739,0,4,1,99.10714286,0,1,0,52.0,3,81.57765801077903,0.0,1500.0,1
24964,2019,0,2,0,0,3,0,0,1,486500,360.0,1,1,1,1198000.0,1,1,0,0,8580.0,0,812,0,2,0,40.60934891,0,1,0,33.0,0,56.695023889989514,0.0,711500.0,1
24965,2019,0,1,0,0,0,0,0,1,406500,360.0,1,1,1,428000.0,1,1,0,0,10740.0,3,571,1,2,0,94.97663551,2,1,0,44.0,3,37.84563820873289,0.0,21500.0,1
24966,2019,1,3,0,0,3,0,0,1,146500,360.0,1,1,1,188000.0,1,1,0,0,2400.0,1,870,0,1,1,77.92553191,3,1,1,49.0,2,61.01624323198667,0.0,41500.0,1
24967,2019,0,1,0,0,0,0,0,1,306500,360.0,1,1,1,408000.0,1,0,0,0,12600.0,1,793,1,1,0,75.12254902,0,1,0,30.0,2,24.323466391556227,9.93,101500.0,1
24968,2019,0,2,0,0,3,0,0,1,266500,300.0,1,1,1,298000.0,1,1,0,0,5040.0,1,804,0,1,1,89.4295302,0,1,0,26.0,2,52.86649474310653,0.0,31500.0,1
24969,2019,0,3,0,0,3,0,0,1,436500,240.0,1,1,1,588000.0,1,1,0,0,7860.0,0,801,1,1,1,74.23469388,3,1,0,40.0,1,55.52728660475766,0.0,151500.0,1
24970,2019,0,2,0,0,3,0,0,1,446500,360.0,1,1,1,1308000.0,1,1,0,0,5700.0,0,711,0,3,0,34.13608563,0,1,0,47.0,0,78.3195930538502,0.0,861500.0,1
24971,2019,0,0,0,1,0,0,0,0,216500,360.0,1,1,1,218000.0,1,1,0,0,2580.0,0,673,1,3,0,99.31192661,2,1,0,49.0,3,83.88221619527314,0.0,1500.0,1
24972,2019,0,3,0,0,0,0,0,1,476500,360.0,1,0,1,688000.0,1,1,0,0,15180.0,0,634,1,2,1,69.25872093,3,1,0,23.0,1,31.387919109413083,0.0,211500.0,1
24973,2019,0,2,0,0,3,0,0,1,466500,360.0,1,1,1,658000.0,1,1,0,0,8700.0,0,834,0,3,0,70.89665653,0,1,0,33.0,1,53.6145270658545,0.0,191500.0,1
24974,2019,0,3,0,0,3,0,0,1,326500,240.0,1,0,1,418000.0,1,1,0,0,5400.0,2,764,1,0,0,75.13586957,3,1,1,39.0,2,60.45176819107573,0.0,91500.0,1
24975,2019,0,1,0,1,0,0,0,0,656500,360.0,1,1,1,678000.0,1,1,0,0,8160.0,1,865,1,0,0,96.82890855,0,1,1,60.0,3,80.4435730915329,0.0,21500.0,1
24976,2019,0,3,0,0,0,0,0,1,506500,360.0,1,1,1,808000.0,1,0,0,1,9180.0,3,593,0,2,1,62.68564356,3,1,1,44.0,1,55.168282322187125,0.0,301500.0,1
24977,2019,0,3,1,2,3,0,0,1,246500,360.0,1,1,1,358000.0,1,1,0,0,5760.0,3,511,1,1,1,68.8547486,3,1,0,39.0,1,42.78771046693282,0.0,111500.0,1
24978,2019,0,1,1,0,2,0,0,1,186500,360.0,1,1,1,288000.0,1,1,0,0,5640.0,1,533,1,4,1,64.75694444,3,1,1,31.0,1,33.06151391597235,0.0,101500.0,1
24979,2019,0,1,0,0,2,1,1,1,56500,360.0,1,0,1,2008000.0,1,1,0,0,7980.0,3,677,1,4,1,2.81374502,0,1,0,41.0,0,7.079313369251974,53.9,1951500.0,1
24980,2019,0,3,0,0,3,0,0,1,486500,360.0,1,1,1,578000.0,1,2,0,0,9840.0,3,774,0,4,1,84.16955017,3,1,0,44.0,2,49.43603292348339,0.0,91500.0,1
24981,2019,0,1,0,0,2,0,0,1,346500,360.0,1,1,1,3408000.0,1,1,0,0,11460.0,3,638,1,6,1,10.16725352,0,1,0,25.0,0,30.23296396475002,5.22,3061500.0,1
24982,2019,0,2,1,0,2,0,0,1,136500,180.0,1,1,1,348000.0,1,1,0,0,3660.0,3,644,0,3,1,39.22413793,0,1,0,44.0,0,37.2848948374761,0.0,211500.0,1
24983,2019,0,2,1,2,0,0,0,1,586500,360.0,1,1,1,588000.0,1,1,0,0,7140.0,3,732,0,1,1,99.74489796,3,1,0,49.0,3,82.13135415207954,0.0,1500.0,1
24984,2019,0,0,0,0,3,0,0,1,336500,360.0,1,1,0,418000.0,1,1,0,0,7440.0,2,586,1,3,1,75.13586957,0,1,1,39.0,2,45.222416341889534,0.0,81500.0,1
24985,2019,0,0,0,1,2,0,0,0,76500,300.0,0,1,1,88000.0,1,1,0,0,2940.0,0,642,0,1,1,86.93181818,0,1,0,45.0,2,26.01156069364162,0.0,11500.0,1
24986,2019,1,2,1,2,3,0,0,1,286500,360.0,1,1,1,258000.0,1,1,0,0,5760.0,3,872,0,4,1,111.0465116,3,1,1,39.0,4,49.73094948793612,0.0,-28500.0,1
24987,2019,0,3,0,0,3,0,0,1,136500,180.0,1,1,1,208000.0,1,1,0,0,3000.0,3,898,0,3,1,65.625,3,1,0,45.0,1,45.48483838720426,0.0,71500.0,1
24988,2019,1,3,1,0,0,0,0,1,486500,360.0,1,1,1,598000.0,1,1,0,0,14640.0,0,734,0,2,1,81.35451505,3,1,0,31.0,2,33.22860460351069,0.0,111500.0,1
24989,2019,0,0,0,0,0,0,0,1,416500,360.0,1,0,1,498000.0,1,1,0,0,3840.0,0,639,0,0,0,83.63453815,0,1,0,47.0,2,108.43530330643061,0.0,81500.0,1
24990,2019,0,2,0,0,0,0,0,1,186500,360.0,1,1,1,348000.0,1,1,0,0,2880.0,3,506,0,3,0,53.59195402,0,1,0,46.0,0,64.73446719888928,0.0,161500.0,1
24991,2019,0,1,0,0,3,0,0,1,186500,360.0,1,1,1,418000.0,1,1,0,0,5700.0,2,664,1,4,1,75.13586957,0,1,1,39.0,2,32.713559024732504,0.0,231500.0,1
24992,2019,0,2,0,1,0,0,0,0,316500,360.0,1,1,1,318000.0,1,1,0,0,7680.0,3,670,0,2,0,99.52830189,0,1,0,32.0,3,41.20557219112095,0.0,1500.0,1
24993,2019,0,2,0,1,3,0,0,0,346500,360.0,1,0,1,478000.0,1,1,0,0,5760.0,3,577,0,1,1,72.48953975,0,1,1,39.0,1,60.14580801944107,0.0,131500.0,1
24994,2019,0,2,0,0,3,0,0,1,326500,348.0,1,1,1,438000.0,1,1,0,0,6840.0,3,857,0,3,1,74.543379,3,1,0,46.0,1,47.72694050577401,0.0,111500.0,1
24995,2019,0,1,0,0,2,1,0,1,256500,180.0,1,1,1,818000.0,1,1,0,0,10260.0,1,653,1,3,1,31.35696822,0,1,0,10.0,0,24.997563590293343,13.63,561500.0,1
24996,2019,0,2,0,0,0,0,0,1,226500,360.0,1,1,1,408000.0,1,1,0,0,3120.0,1,595,0,5,1,55.51470588,0,1,1,41.0,0,72.57289330342839,0.0,181500.0,1
24997,2019,0,1,0,0,0,0,0,1,226500,360.0,0,1,1,588000.0,1,0,0,0,17340.0,3,639,1,3,0,38.52040816,0,1,0,32.0,0,13.061530476904446,29.74,361500.0,1
24998,2019,1,1,1,0,0,0,0,1,906500,360.0,1,1,1,1308000.0,1,1,0,0,12180.0,0,787,1,1,0,69.30428135,3,1,0,39.0,1,74.41917740743781,0.0,401500.0,1
24999,2019,0,1,0,0,3,0,0,1,386500,360.0,1,1,1,558000.0,1,1,0,0,5520.0,0,560,1,2,1,69.26523297,3,1,0,38.0,1,70.00543379822496,0.0,171500.0,1
25000,2019,0,1,0,1,0,0,0,0,496500,360.0,1,1,1,508000.0,1,1,0,0,6060.0,1,613,1,0,0,97.73622047,3,1,1,56.0,3,81.91717538360007,0.0,11500.0,1
25001,2019,1,3,0,0,2,0,0,1,106500,180.0,1,1,1,418000.0,1,1,0,0,5220.0,2,514,1,2,1,75.13586957,3,1,1,39.0,2,20.398391112813638,0.0,311500.0,1
25002,2019,0,3,0,0,2,0,0,1,186500,360.0,1,1,1,528000.0,1,1,0,0,2640.0,3,867,1,2,1,35.3219697,3,1,0,49.0,0,70.61719045815978,0.0,341500.0,1
25003,2019,0,0,0,0,3,0,0,1,246500,360.0,0,1,1,288000.0,1,1,0,0,4920.0,1,717,0,3,1,85.59027778,0,1,0,36.0,2,50.09144482828693,0.0,41500.0,1
25004,2019,1,3,0,0,0,0,0,1,126500,324.0,0,1,1,418000.0,1,1,0,0,4800.0,2,872,1,6,1,75.13586957,3,1,1,39.0,2,26.348677358883567,10.89,291500.0,1
25005,2019,0,3,1,1,0,0,0,0,226500,360.0,1,1,1,228000.0,1,1,0,0,4200.0,3,619,0,2,1,99.34210526,3,1,0,60.0,3,53.915734348964534,0.0,1500.0,1
25006,2019,0,2,0,2,3,0,0,1,416500,360.0,1,1,1,508000.0,1,1,0,0,5760.0,3,668,0,2,1,81.98818898,2,1,0,39.0,2,72.29647630619684,0.0,91500.0,1
25007,2019,0,1,0,0,3,0,0,1,146500,360.0,1,1,1,208000.0,1,1,0,0,8160.0,3,640,1,2,1,70.43269231,0,1,0,42.0,1,17.95123146673202,8.48,61500.0,1
25008,2019,0,0,1,1,3,0,0,0,216500,360.0,1,1,1,418000.0,1,1,0,0,4440.0,2,600,1,3,1,75.13586957,0,1,1,39.0,2,48.75028146813781,0.0,201500.0,1
25009,2019,0,2,0,0,3,0,0,1,396500,360.0,1,1,1,768000.0,1,1,0,0,11400.0,1,524,0,3,0,51.62760417,0,1,0,15.0,0,34.77765108323831,0.0,371500.0,1
25010,2019,0,0,0,0,0,0,0,1,246500,360.0,1,1,1,318000.0,1,1,0,0,3240.0,3,883,0,0,0,77.51572327,0,1,0,40.0,2,76.05677260104906,0.0,71500.0,1
25011,2019,0,3,0,2,2,0,0,1,316500,360.0,1,1,1,388000.0,1,1,0,0,3300.0,0,503,1,4,1,81.57216495,3,1,0,53.0,2,95.88003635262042,0.0,71500.0,1
25012,2019,1,1,1,0,0,0,0,1,296500,360.0,1,1,1,318000.0,1,1,0,0,3840.0,1,887,1,2,0,93.23899371,0,1,0,46.0,3,77.19343920853944,0.0,21500.0,1
25013,2019,0,2,0,2,3,0,0,1,436500,360.0,1,1,1,558000.0,1,1,0,0,5760.0,1,604,1,4,1,78.22580645,0,1,0,39.0,2,75.76809581669849,0.0,121500.0,1
25014,2019,0,0,1,0,2,0,0,1,226500,360.0,1,1,1,288000.0,1,1,0,0,6600.0,1,644,0,1,1,78.64583333,3,1,1,31.0,2,34.31298288138161,0.0,61500.0,1
25015,2019,1,1,0,2,3,0,0,1,506500,360.0,1,1,1,578000.0,1,1,0,0,5760.0,1,648,1,1,0,87.62975779,2,1,0,39.0,2,87.91876410345427,0.0,71500.0,1
25016,2019,0,2,0,0,3,0,0,1,296500,360.0,1,1,1,608000.0,1,1,0,0,8400.0,0,797,0,1,0,48.76644737,3,1,0,7.0,0,35.29341745030354,0.84,311500.0,1
25017,2019,0,3,0,0,3,0,0,1,386500,360.0,1,0,1,598000.0,1,1,0,0,5820.0,3,806,0,0,1,64.63210702,3,1,0,38.0,1,66.39752619824772,0.0,211500.0,1
25018,2019,0,1,0,0,2,0,0,1,106500,120.0,1,1,1,618000.0,1,1,0,0,6540.0,1,845,1,3,1,17.23300971,2,1,0,19.0,0,16.281914080415838,50.07,511500.0,1
25019,2019,0,3,0,0,3,0,0,1,706500,360.0,1,1,1,898000.0,1,1,0,0,15240.0,1,815,0,2,0,78.67483296,0,1,0,27.0,2,46.35522603503707,0.0,191500.0,1
25020,2019,0,2,0,0,2,0,0,1,176500,180.0,1,1,1,278000.0,1,1,0,0,5280.0,0,585,0,2,1,63.48920863,0,1,0,37.0,1,33.421700435523576,0.0,101500.0,1
25021,2019,0,1,0,0,0,0,0,1,496500,360.0,0,1,1,588000.0,1,1,0,0,8280.0,0,729,1,1,0,84.43877551,3,1,0,40.0,2,59.95652698949402,0.0,91500.0,1
25022,2019,0,0,0,0,2,0,0,1,606500,360.0,1,1,1,978000.0,1,1,0,0,16740.0,3,538,0,4,0,62.01431493,0,1,0,20.0,1,36.228421241263966,0.0,371500.0,1
25023,2019,0,0,0,1,0,0,0,0,126500,360.0,1,1,1,138000.0,1,1,0,0,2220.0,0,629,0,4,1,91.66666667,0,1,0,55.0,3,56.95632597928861,0.0,11500.0,1
25024,2019,0,2,0,1,2,0,0,0,156500,180.0,1,1,1,198000.0,1,1,0,0,3780.0,0,791,0,3,1,79.04040404,0,1,0,30.0,2,41.39116635810632,0.0,41500.0,1
25025,2019,0,0,0,0,3,0,0,1,196500,360.0,1,1,1,208000.0,1,1,0,0,5580.0,1,671,0,3,1,94.47115385,0,1,1,36.0,3,35.20874395269665,0.0,11500.0,1
