loanId,memberId,date,purpose,isJointApplication,loanAmount,term,interestRate,monthlyPayment,grade,loanStatus
1183143,2382724,10/16/2015,debtconsolidation,0,16314,60 months,13.74,377,A1,Current
1041855,2428982,7/6/2015,debtconsolidation,0,18038,36 months,15.95,634,A3,Current
1891878,2248022,2/25/2016,debtconsolidation,0,23785,36 months,13.1,803,B3,Default
1859166,2596320,1/24/2016,debtconsolidation,0,15555,60 months,8.53,319,C3,Current
1745194,2178405,3/13/2015,debtconsolidation,0,15893,60 months,5.8,306,A2,Current
1278227,2874143,7/15/2014,debtconsolidation,0,15053,48 months,11.35,392,A3,Current
1632056,2081141,7/20/2015,debtconsolidation,0,21261,36 months,5.47,642,C2,Current
1821446,2377140,11/30/2014,debtconsolidation,0,20606,60 months,14.36,483,C3,Current
1118072,2325160,7/21/2015,debtconsolidation,0,17746,36 months,15.11,616,B3,Current
1862826,2128416,5/10/2015,debtconsolidation,1,15742,60 months,16.49,387,B2,Current
1597110,2528729,9/12/2014,debtconsolidation,0,22857,48 months,8.6,564,B1,Current
1329966,2722600,9/27/2014,debtconsolidation,0,18252,60 months,13.32,418,A1,Current
1106201,2192648,6/9/2015,debtconsolidation,0,21295,36 months,6.94,657,B1,Current
1366710,2439781,9/22/2014,debtconsolidation,0,26659,48 months,5.43,619,B3,Current
1267133,2876501,2/4/2015,debtconsolidation,0,14246,48 months,14.93,396,E3,Default
1460514,2680369,10/14/2014,debtconsolidation,0,25010,36 months,4.85,748,D1,Current
1452559,2115974,3/8/2015,other,0,20348,48 months,9.46,511,C3,Current
1374863,2027352,2/26/2016,debtconsolidation,0,17298,48 months,7.07,415,C1,Default
1417847,2506824,10/21/2015,debtconsolidation,0,24332,36 months,12.99,820,A3,Current
1404150,2364836,8/3/2014,debtconsolidation,0,19324,36 months,16.41,683,B3,Current
1124304,2139134,3/21/2016,debtconsolidation,1,14888,48 months,10.29,380,C3,Current
1312163,2763116,5/24/2014,debtconsolidation,0,13306,36 months,10.84,435,B3,Current
1397622,2544615,7/10/2014,debtconsolidation,0,22755,48 months,10.37,581,B3,Current
1659976,2603141,2/9/2015,debtconsolidation,0,22487,60 months,12.95,511,B1,Current
1763524,2362834,12/30/2015,debtconsolidation,0,27739,36 months,11.35,913,B2,Current
1679646,2486530,8/15/2014,debtconsolidation,0,23014,36 months,9,732,E1,Default
1787421,2819505,3/5/2016,debtconsolidation,0,18389,60 months,9.12,383,A2,Current
1529692,2039730,2/16/2016,debtconsolidation,0,15546,36 months,9.55,498,A3,Current
1228418,2802726,1/30/2016,debtconsolidation,0,20876,48 months,7.08,501,B3,Current
1792225,2485748,5/7/2015,debtconsolidation,0,,48 months,12.04,539,A1,Current
1121413,2334079,10/25/2015,debtconsolidation,0,26719,60 months,12.55,602,B1,Current
1173780,2165688,4/11/2016,debtconsolidation,0,24191,36 months,11.67,800,A3,Current
1839361,2135856,1/10/2015,debtconsolidation,0,20809,48 months,10.12,529,A2,Current
1004328,2038569,12/26/2015,debtconsolidation,0,23961,48 months,18.06,705,B3,Current
1259188,2086107,12/1/2014,debtconsolidation,0,18419,36 months,7.67,574,C1,Current
1496233,2635406,6/16/2014,debtconsolidation,0,27783,36 months,9.83,894,B2,Current
1511056,2022052,6/28/2016,debtconsolidation,0,17611,48 months,13.22,474,C2,Current
1784502,2754509,6/1/2016,debtconsolidation,0,20210,36 months,15.42,705,E1,Default
1282668,2705784,4/26/2016,debtconsolidation,0,20619,60 months,6.82,407,A3,Current
1148214,2817484,11/23/2015,debtconsolidation,1,22471,60 months,8.16,457,B2,Current
1074245,2457605,1/3/2016,debtconsolidation,0,25399,60 months,12,565,C2,Default
1678804,2494253,2/10/2015,debtconsolidation,0,21516,48 months,6.02,506,D1,Current
1440741,2586240,5/21/2015,debtconsolidation,0,20540,36 months,14.47,707,A1,Current
1356531,2088296,2/26/2015,debtconsolidation,0,22954,48 months,6.21,541,B2,Current
1110618,2020813,7/30/2015,debtconsolidation,0,17632,60 months,21.71,484,A1,Current
1212080,2801338,9/25/2014,debtconsolidation,0,27035,60 months,12.86,613,A1,Current
1607199,2133247,9/5/2015,debtconsolidation,0,19063,48 months,7.3,459,A3,Current
1847742,2385783,2/25/2015,debtconsolidation,0,14893,48 months,19.68,451,A1,Current
1475298,2616606,3/13/2016,healthcare,1,20059,60 months,6.83,396,A2,Current
1604702,2104950,11/24/2014,debtconsolidation,0,23908,60 months,17.96,607,E1,Current
1589565,2669176,5/14/2016,debtconsolidation,,27863,36 months,10.13,901,D1,Current
1857895,2784757,11/19/2015,debtconsolidation,0,17615,48 months,9.25,440,C2,Current
1199447,2287939,9/28/2014,debtconsolidation,0,17629,60 months,8.04,358,E3,Current
1133435,2006873,2/24/2015,debtconsolidation,0,16843,48 months,9.69,425,D3,Current
1621876,2048201,7/23/2015,debtconsolidation,0,21924,60 months,10.09,467,B2,Current
1006589,2217761,7/21/2014,debtconsolidation,0,21308,36 months,12.43,712,D3,Default
1207714,2396779,1/28/2015,debtconsolidation,0,22198,36 months,17.27,794,A3,Current
1242583,2347527,12/12/2015,debtconsolidation,0,11436,60 months,11.65,252,D3,Current
1474372,2675272,6/30/2015,debtconsolidation,0,21030,48 months,10.41,538,B3,Current
1157659,2061047,12/2/2014,debtconsolidation,0,20888,36 months,9.82,672,A1,Current
1762344,2074030,8/19/2015,homeimprovement,0,14817,48 months,7.94,361,C1,Current
1425229,2566366,3/19/2016,homeimprovement,0,32954,60 months,11.25,721,C1,Current
1632126,2696426,9/11/2015,debtconsolidation,0,17923,60 months,13.49,412,C2,Current
1190415,2120634,6/11/2015,debtconsolidation,0,28597,48 months,12.35,758,C1,Current
1545569,2628619,11/4/2015,debtconsolidation,0,22523,60 months,10.07,479,B2,Current
1495337,2664825,2/5/2016,debtconsolidation,0,31399,36 months,11.78,1040,B3,Current
1594326,2570299,9/16/2014,debtconsolidation,0,19703,60 months,13.34,452,C3,Current
1658434,2239062,10/6/2015,debtconsolidation,0,18079,36 months,6.77,556,D3,Current
1010013,2150867,7/18/2015,healthcare,0,21483,36 months,5.59,650,A2,Current
1749922,2671080,1/2/2015,debtconsolidation,0,20645,48 months,15.4,579,A3,Current
1675806,2282344,10/19/2015,business,0,18890,48 months,12.43,501,B1,Current
1541858,2503312,3/24/2016,debtconsolidation,0,23626,60 months,5.55,452,C1,Current
1438992,2709990,2/16/2015,debtconsolidation,0,19979,60 months,8.68,412,E3,Default
1422023,2243325,11/14/2014,debtconsolidation,0,24596,48 months,16.92,709,C3,Current
1078206,2467546,5/17/2015,debtconsolidation,0,17001,36 months,5.2,511,A3,Current
1803474,2647605,3/2/2016,debtconsolidation,0,22083,36 months,7.21,684,C1,Current
1770565,2709608,5/2/2016,education,0,21558,48 months,8.02,526,A3,Current
1837924,2465153,2/25/2016,debtconsolidation,0,18981,36 months,6.54,582,C2,Current
1820872,2113181,6/27/2016,debtconsolidation,0,15040,60 months,15.05,358,A1,Current
1863260,2016402,6/2/2014,debtconsolidation,0,14857,36 months,6,452,B2,Current
1653711,2761176,2/15/2016,debtconsolidation,0,29952,48 months,12.77,800,B3,Current
1804559,2054053,11/8/2014,debtconsolidation,0,15940,60 months,13.93,370,C1,Current
1184008,2205299,12/20/2015,debtconsolidation,0,25811,,14.06,883,D1,Current
1124517,2885299,2/11/2016,homeimprovement,0,16750,36 months,6.55,514,A2,Current
1356814,2168639,1/8/2016,business,0,24904,48 months,10.41,637,A1,Current
1573053,2020841,1/30/2015,healthcare,0,12519,36 months,9.85,403,D3,Current
1021803,2541489,7/16/2015,debtconsolidation,0,16867,36 months,11.65,557,A3,Current
1882240,2028287,8/4/2014,other,0,21464,48 months,6.38,508,E2,Current
1242620,2592041,7/29/2014,debtconsolidation,0,23370,60 months,9.39,490,B3,Current
1330836,2372059,12/9/2014,debtconsolidation,0,14582,36 months,11.83,483,B3,Current
1247385,2485328,6/3/2015,debtconsolidation,0,26161,60 months,11.7,578,A3,Current
1198165,2283329,1/31/2015,business,0,27465,48 months,18.15,809,B1,Current
1201358,2075658,11/24/2015,other,0,24305,36 months,11.87,806,A1,Current
1024903,2695533,3/26/2016,debtconsolidation,0,26957,48 months,15.65,759,A2,Current
1392500,2669948,2/19/2015,debtconsolidation,0,23716,48 months,13.24,639,A2,Current
1860967,2540402,5/7/2016,debtconsolidation,0,28843,60 months,14.3,676,C1,Current
1447605,2849528,10/6/2014,debtconsolidation,0,22562,48 months,4.81,518,E1,Default
1046150,2106318,1/23/2016,debtconsolidation,0,24394,60 months,8.01,495,A3,Current
1255771,2612954,1/25/2015,debtconsolidation,0,18580,60 months,7.38,371,A1,Current
1281218,2740141,1/28/2015,debtconsolidation,0,28233,60 months,6.4,551,A2,Current
1335266,2004048,6/18/2014,debtconsolidation,0,25129,60 months,5.22,477,B1,Current
1840624,2581867,1/23/2016,debtconsolidation,0,21173,60 months,6.35,413,A3,Current
1018454,2637086,10/4/2014,debtconsolidation,0,19733,48 months,8.97,491,A2,Current
1563731,2505905,9/15/2015,debtconsolidation,0,25335,36 months,14.72,875,B3,Current
1777439,2401580,12/9/2014,debtconsolidation,0,22250,36 months,10.09,719,A1,Current
1219557,2629341,6/15/2015,debtconsolidation,0,18363,36 months,13.43,623,B3,Current
1409272,2608678,12/4/2015,debtconsolidation,0,9778,48 months,5.67,228,A3,Current
1556672,2869489,8/30/2014,debtconsolidation,0,30715,48 months,9.02,765,A1,Current
1275106,2644995,9/3/2014,business,0,14767,48 months,16.1,419,B1,Current
1018958,2229487,5/13/2014,debtconsolidation,0,21559,36 months,9.37,689,D3,Current
1246285,2003546,5/24/2016,homeimprovement,0,18233,48 months,11.05,472,D3,Default
1663062,2057289,5/30/2016,debtconsolidation,0,25371,36 months,17.77,914,D2,Current
1742871,2238263,5/19/2014,debtconsolidation,0,19942,60 months,14.09,465,A3,Current
1450793,2447850,9/2/2014,debtconsolidation,0,17067,36 months,10.09,551,A3,Current
1706942,2156688,1/6/2016,debtconsolidation,1,19318,36 months,5.26,581,A1,Current
1394846,2131756,2/22/2015,debtconsolidation,0,28652,,14.64,792,C3,Current
1288270,2898104,4/21/2016,debtconsolidation,0,21881,60 months,14.42,514,B1,Current
1009165,2132112,5/26/2016,debtconsolidation,0,20963,48 months,10.92,541,A2,Current
1117585,2821720,6/10/2015,debtconsolidation,0,20287,36 months,7.58,632,C2,Current
1263902,2184681,2/25/2016,debtconsolidation,0,23640,60 months,6.93,467,A1,Current
1182337,2284935,10/30/2015,debtconsolidation,0,15782,48 months,13.4,427,E1,Current
1132045,2120872,3/22/2015,debtconsolidation,0,21491,36 months,10.86,702,B1,Current
1861014,2262566,5/28/2014,debtconsolidation,0,13795,48 months,15.96,391,B1,Current
1415636,2074661,10/9/2014,debtconsolidation,0,19658,48 months,8.32,483,B1,Current
1248063,2573837,5/15/2015,debtconsolidation,0,19216,36 months,15.84,674,E3,Current
1506691,2190218,2/26/2015,debtconsolidation,0,19334,48 months,10.08,491,A1,Current
1505374,2284397,5/23/2015,debtconsolidation,0,20882,48 months,6.41,494,A2,Current
1433257,2847097,8/1/2014,debtconsolidation,0,25573,60 months,8.39,523,D2,Default
1064160,2460998,5/23/2015,homeimprovement,0,13448,36 months,10.81,439,A1,Current
1650498,2368688,7/26/2015,other,0,20293,48 months,8.21,497,A1,Current
1179922,2067998,11/3/2014,healthcare,0,24542,48 months,7.06,588,A2,Current
1474703,2857878,4/17/2016,debtconsolidation,0,21934,36 months,7.05,678,B1,Current
1649887,2384549,10/24/2015,homeimprovement,0,14575,36 months,5.87,443,B2,Current
1182111,2865823,12/26/2014,debtconsolidation,0,25297,60 months,7.05,502,A1,Current
1649761,2799674,10/22/2014,debtconsolidation,1,24240,48 months,9.85,613,C2,Current
1700127,2012799,12/6/2015,debtconsolidation,0,18763,48 months,8.08,459,A1,Current
1646119,2059846,11/12/2015,debtconsolidation,0,18155,36 months,5.89,551,E3,Current
1559846,2826225,1/25/2016,other,0,20121,48 months,8.57,497,B2,Current
1017268,2767535,10/16/2015,debtconsolidation,0,27413,60 months,8.95,568,C3,Current
1502044,2549986,7/31/2014,debtconsolidation,0,17435,36 months,12.85,586,B2,Current
1412158,2384596,6/13/2016,debtconsolidation,0,24412,48 months,14.49,673,A2,Current
1531869,2233451,8/26/2014,other,0,17218,36 months,9.25,550,A2,Current
1220993,2457994,6/17/2016,debtconsolidation,0,29120,48 months,9.69,734,A2,Current
1520314,2658598,3/15/2015,debtconsolidation,1,18228,48 months,15.62,513,B1,Current
1808029,2464765,3/22/2015,homeimprovement,0,20035,48 months,10.16,510,A3,Current
1604760,2009059,4/7/2016,debtconsolidation,0,26840,36 months,9.41,859,C1,Current
1246937,2655287,2/25/2016,debtconsolidation,1,21381,60 months,12.69,483,A3,Current
1222411,2256589,11/30/2015,homeimprovement,0,16776,48 months,5.95,394,A1,Current
1317921,2467433,5/30/2015,debtconsolidation,0,18496,48 months,8.58,457,E3,Default
1547855,2364383,12/17/2015,education,0,13127,48 months,9.32,329,B3,Current
1122477,2101851,8/20/2015,homeimprovement,0,20499,48 months,15.41,575,B2,Current
1837228,2745184,11/16/2014,debtconsolidation,0,18455,36 months,15.98,649,B3,Current
1836657,2286616,8/11/2014,debtconsolidation,0,19734,48 months,8.16,483,D2,Current
1112765,2422787,6/17/2015,debtconsolidation,0,22707,36 months,8.04,712,A2,Current
1303107,2413744,8/22/2014,debtconsolidation,0,20831,60 months,10.26,445,B3,Current
1812572,2063286,10/15/2015,debtconsolidation,0,25877,36 months,18.22,938,D2,Default
1516608,2593728,8/7/2014,debtconsolidation,0,15023,48 months,13.32,405,B3,Current
1068801,2261029,3/10/2015,debtconsolidation,0,23052,36 months,6.55,707,D1,Current
1380394,2120754,9/23/2014,debtconsolidation,0,18116,60 months,8.56,372,B1,Current
1892079,2849378,6/29/2016,debtconsolidation,0,21153,48 months,8.86,525,B3,Current
1245505,2055458,1/23/2015,debtconsolidation,0,14158,48 months,14.73,392,A1,Current
1367710,2405857,8/29/2015,debtconsolidation,0,25266,60 months,21.67,693,D2,Default
1107053,2474760,6/13/2015,debtconsolidation,0,21325,,11.17,553,B2,Current
1591231,2871614,5/18/2015,homeimprovement,0,13580,36 months,7.85,425,C1,Current
1645328,2623652,6/26/2015,debtconsolidation,0,16514,36 months,9.26,527,B2,Current
1865119,2194351,10/11/2015,debtconsolidation,0,23030,60 months,18.1,586,A3,Default
1572869,2274640,6/28/2014,debtconsolidation,0,14747,36 months,10.28,478,D2,Current
1804857,2204051,3/22/2015,debtconsolidation,0,19697,60 months,10.28,421,D2,Current
1160375,2609693,5/9/2015,debtconsolidation,1,14913,48 months,12.73,398,A2,Current
1047460,2652264,6/6/2014,debtconsolidation,0,17373,48 months,14.69,481,B2,Current
1026417,2479888,5/7/2016,debtconsolidation,0,14773,60 months,12.41,332,E3,Current
1747038,2885053,5/15/2016,debtconsolidation,0,24017,48 months,10.48,615,E1,Current
1541599,2230871,4/21/2015,homeimprovement,0,21047,48 months,8.93,523,B3,Current
1704710,2734548,5/4/2016,debtconsolidation,0,21160,48 months,16.15,601,A1,Current
1733747,2409369,11/10/2015,other,0,,48 months,5.8,514,C3,Current
1138627,2637311,5/23/2014,debtconsolidation,0,24105,36 months,5.5,728,C2,Default
1843221,2393740,6/30/2016,debtconsolidation,0,18206,60 months,15.47,438,E1,Current
1553041,2021208,12/4/2015,debtconsolidation,1,14763,36 months,14.63,509,E1,Current
1498769,2383383,4/25/2015,other,0,26824,60 months,12.58,605,A2,Current
1310937,2875779,7/20/2015,debtconsolidation,0,23899,48 months,16.25,680,A2,Current
1361685,2688601,12/9/2014,homeimprovement,0,18471,36 months,15.45,644,B1,Current
1405448,2710089,4/27/2015,auto,1,16549,60 months,16.77,409,C2,Current
1828791,2198490,7/8/2014,debtconsolidation,0,19372,48 months,9.04,482,C1,Current
1106704,2219472,5/13/2015,debtconsolidation,0,25630,36 months,11.37,844,A2,Current
1682560,2222916,1/8/2015,debtconsolidation,1,23639,36 months,21.53,897,C2,Default
1619887,2367016,2/4/2016,debtconsolidation,0,26602,60 months,6.58,521,B2,Current
1467732,2170046,6/15/2014,debtconsolidation,0,17655,60 months,10.63,381,D2,Current
1163848,2089377,8/17/2015,debtconsolidation,0,24207,36 months,7.48,753,B3,Current
1791443,2631355,2/7/2016,homeimprovement,0,17231,60 months,10.4,370,C1,Current
1497742,2443783,4/14/2016,debtconsolidation,0,15932,48 months,10.71,410,C2,Current
1399479,2152585,7/24/2015,debtconsolidation,0,20736,48 months,13.24,559,B3,Current
1449611,2885668,11/8/2014,debtconsolidation,0,20136,36 months,8.21,633,B1,Current
1588645,2644633,8/9/2014,homeimprovement,0,10883,60 months,13.47,250,C1,Current
1726652,2183776,10/17/2014,debtconsolidation,0,15292,60 months,11.44,336,C1,Current
1735827,2855143,10/10/2014,debtconsolidation,0,17746,36 months,12.35,592,B1,Current
1042845,2777453,1/16/2016,debtconsolidation,0,9846,36 months,14.72,340,E3,Current
1399812,2469889,5/30/2016,debtconsolidation,0,18614,48 months,8.68,460,B1,Current
1484603,2547515,3/14/2016,auto,0,29887,48 months,16.43,854,D3,Default
1894170,2457413,1/16/2015,debtconsolidation,0,21361,36 months,10.89,698,C3,Current
1537511,2768047,9/16/2015,debtconsolidation,0,24418,48 months,6.21,576,B3,Current
1026576,2639815,6/4/2015,debtconsolidation,0,22418,60 months,13.1,511,B1,Current
1365289,2795124,3/24/2016,debtconsolidation,0,15804,60 months,7.95,320,A2,Current
1115235,2003695,7/9/2015,business,0,25612,60 months,10.71,553,A2,Current
1884091,2861473,9/24/2014,debtconsolidation,0,16438,48 months,6.98,393,B3,Current
1623931,2137501,1/28/2016,debtconsolidation,1,14209,36 months,14.16,487,E1,Current
1379940,2421491,9/16/2015,debtconsolidation,0,15092,60 months,8.31,308,A3,Current
1215981,2828925,9/21/2014,debtconsolidation,0,15948,36 months,15.11,554,B1,Current
1008670,2498676,9/15/2014,debtconsolidation,0,25433,36 months,11.47,838,D3,Current
1568199,2594271,1/8/2016,debtconsolidation,0,17678,36 months,13.77,602,B1,Current
1307636,2319520,12/17/2015,debtconsolidation,0,26465,36 months,9.84,852,C1,Current
1247876,2856520,3/9/2015,debtconsolidation,0,20042,60 months,13.65,463,B1,Current
1568457,2246396,4/24/2016,debtconsolidation,0,10909,48 months,6.86,261,C2,Current
1241255,2439774,1/15/2015,debtconsolidation,0,23084,36 months,8.03,724,D3,Current
1492232,2810600,3/29/2016,debtconsolidation,0,17904,60 months,6.92,354,A2,Current
1780687,2671628,8/15/2014,debtconsolidation,0,25514,48 months,11.3,663,A1,Current
1319690,2536938,12/14/2015,other,0,22154,48 months,10.32,565,A1,Current
1532292,2504651,12/16/2014,other,0,16718,36 months,14.57,576,A2,Current
1419123,2466506,9/7/2015,debtconsolidation,0,26016,60 months,8.24,531,B3,Current
1539675,2028307,1/5/2015,debtconsolidation,0,20584,48 months,14.59,569,B3,Current
1467210,2347572,11/22/2014,debtconsolidation,0,22945,36 months,8.58,725,C1,Current
1769657,2384598,5/27/2014,debtconsolidation,0,26367,36 months,17.38,945,C3,Current
1570031,2282879,11/12/2015,debtconsolidation,0,19484,36 months,13.39,660,E2,Default
1669614,2630474,2/21/2016,debtconsolidation,0,20781,60 months,6.49,407,B1,Current
1894032,2735517,7/20/2014,debtconsolidation,0,15781,36 months,13.24,534,A1,Current
1705820,2660604,11/27/2014,business,0,14451,60 months,11.45,317,B1,Current
1024875,2620100,7/16/2014,debtconsolidation,0,25094,60 months,7.22,500,A3,Current
1039029,2110188,5/20/2014,homeimprovement,0,22040,60 months,7.61,443,C2,Default
1283513,2198669,1/4/2015,debtconsolidation,0,23449,60 months,13.92,545,C1,Current
1658285,2822513,10/18/2015,business,0,21882,48 months,6.54,519,C1,Current
1260000,2797121,1/15/2016,debtconsolidation,0,19616,48 months,5.3,454,A3,Current
1854789,2402106,8/22/2014,debtconsolidation,0,16148,48 months,17.14,467,A1,Current
1289505,2198962,8/30/2014,homeimprovement,0,19113,48 months,20.43,586,D2,Current
1098349,2587153,3/2/2015,debtconsolidation,0,24176,48 months,10.79,622,C3,Current
1494665,2279832,11/8/2014,debtconsolidation,0,24112,36 months,13.69,820,D3,Default
1130528,2797147,12/15/2014,debtconsolidation,0,22087,36 months,11.6,729,D3,Current
1812913,2538278,12/17/2015,homeimprovement,0,18784,60 months,7.7,378,D1,Current
1011749,2167597,11/21/2014,debtconsolidation,0,11021,,7.62,267,E1,Current
1198531,2404579,6/18/2014,debtconsolidation,0,26144,48 months,7.47,632,A1,Current
1158140,2219342,8/13/2014,debtconsolidation,0,17856,36 months,12.32,596,A3,Current
1221363,2150817,4/8/2016,debtconsolidation,0,19653,36 months,8.59,621,A1,Current
1095551,2619493,3/19/2016,debtconsolidation,0,15177,36 months,16.87,540,C1,Current
1412870,2450546,3/20/2016,debtconsolidation,0,18805,48 months,8.92,467,C1,Current
1255866,2272099,9/23/2015,debtconsolidation,0,19822,48 months,8.22,486,A3,Current
1218135,2346502,5/5/2016,healthcare,0,22791,60 months,8.9,472,A2,Current
1529252,2475268,8/6/2014,debtconsolidation,0,19656,48 months,14.13,538,A1,Current
1732587,2063083,6/16/2014,debtconsolidation,0,23701,48 months,13.42,641,C2,Current
1440465,2236904,7/27/2014,debtconsolidation,0,22719,60 months,9.04,472,C2,Current
1147685,2007094,10/11/2014,education,1,17781,36 months,8.17,559,A1,Current
1455466,2516312,4/26/2015,debtconsolidation,0,22188,36 months,15.37,773,B2,Current
1778332,2513638,6/23/2014,debtconsolidation,0,21077,36 months,12.31,703,A1,Current
1248382,2504294,7/6/2015,debtconsolidation,0,27642,36 months,9.73,888,B2,Current
1563695,2826872,3/24/2016,debtconsolidation,0,27596,36 months,6.27,843,D2,Current
1554706,2546749,7/15/2015,debtconsolidation,0,19344,36 months,7.01,597,A2,Current
1379164,2692508,11/22/2014,education,0,29661,48 months,12.11,783,A2,Default
1758371,2045094,5/16/2014,homeimprovement,0,22776,36 months,4.9,682,A2,Current
1170466,2829260,12/5/2015,debtconsolidation,0,24381,36 months,9.35,779,A3,Current
1621657,2388278,3/26/2015,debtconsolidation,0,22420,60 months,8.07,455,A3,Current
1842301,2007202,10/27/2015,debtconsolidation,0,17996,48 months,5.31,417,A1,Current
1137821,2295712,8/28/2015,debtconsolidation,0,20621,36 months,9.34,659,C2,Current
1515531,2778552,8/20/2014,debtconsolidation,0,24661,36 months,18.55,898,E1,Default
1650914,2481918,9/6/2014,business,0,19218,60 months,7.15,382,C3,Current
1366892,2600410,10/4/2015,debtconsolidation,0,20144,60 months,8.55,414,A3,Current
1579914,2792341,4/23/2015,debtconsolidation,0,29622,36 months,20.12,1103,D3,Default
1525350,2339406,5/26/2016,debtconsolidation,0,22703,48 months,14.27,623,A2,Current
1786110,2235642,11/27/2015,debtconsolidation,0,27275,36 months,6.19,832,D1,Current
1421653,2724711,5/28/2015,debtconsolidation,0,29518,36 months,11.12,968,A1,Current
1509437,2003673,6/14/2016,debtconsolidation,,22328,36 months,8.47,705,A2,Current
1670427,2143112,4/10/2016,debtconsolidation,0,22016,36 months,6.46,674,A1,Default
1526279,2157586,3/1/2016,other,0,20704,60 months,8.25,422,B1,Current
1245536,2501753,2/11/2016,homeimprovement,0,21010,36 months,8.54,664,A3,Current
1306667,2874865,1/5/2015,debtconsolidation,0,13564,60 months,11.67,299,B1,Current
1473875,2291373,1/13/2016,homeimprovement,0,22289,60 months,17.96,566,C2,Default
1669990,2726105,5/12/2016,debtconsolidation,0,22512,60 months,11.75,498,B1,Current
1806378,2194515,12/1/2015,debtconsolidation,0,29450,36 months,26.91,1201,E3,Default
1556745,2074695,3/30/2016,debtconsolidation,0,18245,36 months,7.6,568,B3,Current
1334354,2245117,1/27/2016,homeimprovement,0,17427,48 months,9.51,438,A1,Current
1387656,2552749,11/25/2015,homeimprovement,0,13196,36 months,9.17,421,C2,Current
1048651,2341868,3/17/2016,debtconsolidation,0,21574,48 months,12.73,576,A2,Current
1886801,2702539,8/13/2014,education,0,14187,48 months,8.33,349,C2,Current
1569833,2797426,11/1/2014,business,0,18077,48 months,13.19,487,B3,Current
