,loanId,memberId,date,purpose,isJointApplication,loanAmount,term,interestRate,monthlyPayment,grade,loanStatus,residentialState,yearsEmployment,homeOwnership,annualIncome,incomeVerified,dtiRatio,lengthCreditHistory,numTotalCreditLines,numOpenCreditLines,numOpenCreditLines1Year,revolvingBalance,revolvingUtilizationRate,numDerogatoryRec,numDelinquency2Years,numChargeoff1year,numInquiries6Mon
17,1667717,2264122,5/22/2015,debtconsolidation,0.0,18067.0,48 months,15.3,506,A3,Current,NV,2-5 years,own,57898,0,13.73,5,14,12.0,4,15241,53.64,0,20,11,0
18,1579131,2723224,3/30/2016,debtconsolidation,1.0,24085.0,60 months,13.74,557,B2,Current,WI,6-9 years,own,51667,1,7.89,4,25,25.0,19,14639,42.14,0,0,0,2
19,1769263,2294710,8/31/2014,debtconsolidation,0.0,21298.0,60 months,6.94,421,C1,Current,DE,6-9 years,mortgage,52092,1,21.9,4,19,11.0,6,12296,50.46,0,0,0,1
20,1329565,2273732,5/1/2015,homeimprovement,0.0,27036.0,48 months,12.72,722,A3,Current,OR,1 year,mortgage,56815,1,20.38,13,14,9.0,4,15763,45.89,0,0,0,1
21,1303036,2841525,11/5/2015,homeimprovement,0.0,18883.0,48 months,9.76,477,C2,Current,WY,< 1 year,mortgage,50693,0,18.0,4,2,2.0,2,11729,69.1,0,0,0,0
22,1715374,2688887,10/20/2014,debtconsolidation,0.0,23140.0,36 months,14.89,801,E2,Current,CA,6-9 years,rent,55230,1,13.89,10,15,10.0,4,10630,48.11,0,0,0,0
23,1514131,2767856,5/12/2016,debtconsolidation,0.0,16569.0,36 months,7.15,513,E1,Current,MN,< 1 year,own,60827,0,20.85,5,13,7.0,5,13469,26.7,0,0,0,2
24,1892304,2526733,5/15/2016,education,0.0,24686.0,60 months,6.39,482,A3,Current,FL,6-9 years,rent,59391,1,22.04,29,16,10.0,7,20634,86.97,0,0,0,1
25,1632177,2455559,2/8/2016,debtconsolidation,1.0,16905.0,36 months,10.16,547,D1,Current,IL,< 1 year,own,59310,1,23.16,9,17,13.0,11,18467,53.47,0,0,0,0
26,1280412,2113837,3/28/2016,debtconsolidation,0.0,14369.0,36 months,11.61,475,D1,Current,KY,1 year,rent,52467,1,23.29,7,16,9.0,8,14767,44.55,0,0,0,0
27,1327382,2093340,8/7/2015,debtconsolidation,0.0,17045.0,60 months,7.67,343,B1,Current,CO,6-9 years,own,55743,1,16.32,7,17,10.0,6,15808,56.17,0,1,1,0
28,1062053,2094750,6/22/2016,debtconsolidation,0.0,16621.0,36 months,13.65,565,C1,Current,CA,< 1 year,mortgage,53344,1,18.23,2,9,7.0,6,18223,59.89,10,0,0,0
29,1596972,2787329,6/24/2014,debtconsolidation,0.0,20006.0,60 months,11.25,437,A3,Current,CA,2-5 years,mortgage,51664,1,4.15,4,8,7.0,5,14902,82.14,0,6,5,0
30,1352877,2206016,10/1/2014,debtconsolidation,0.0,17245.0,60 months,11.01,375,C2,Current,IA,2-5 years,mortgage,53636,1,18.88,34,18,13.0,6,16896,83.05,0,17,13,0
31,1110030,2813877,4/19/2015,education,0.0,23100.0,36 months,9.19,737,B3,Current,KS,10+ years,own,51629,0,18.14,2,8,8.0,4,16411,86.53,0,0,0,2
32,1667662,2017331,12/11/2015,homeimprovement,0.0,22080.0,60 months,12.16,493,C1,Current,MA,6-9 years,rent,57068,1,19.01,5,20,18.0,13,15588,30.9,0,2,2,2
33,1356935,2613460,3/31/2015,debtconsolidation,0.0,25544.0,36 months,12.73,857,D1,Current,ME,10+ years,mortgage,61537,1,17.62,36,20,12.0,9,16619,74.44,0,0,0,1
34,1193050,2895862,7/23/2014,debtconsolidation,0.0,17654.0,60 months,7.45,353,D2,Current,NJ,1 year,rent,59617,0,15.41,3,14,11.0,8,13517,74.18,0,0,0,1
35,1302768,2651481,9/24/2015,debtconsolidation,0.0,19269.0,36 months,12.59,645,B2,Current,IA,6-9 years,own,57814,1,13.56,1,13,13.0,7,13481,63.29,0,0,0,2
36,1834936,2379194,6/19/2014,debtconsolidation,0.0,22680.0,60 months,8.46,465,A1,Current,IL,2-5 years,own,55134,0,19.32,3,16,12.0,11,17909,60.31,0,0,0,0
37,1594262,2143461,4/11/2016,debtconsolidation,0.0,20150.0,48 months,7.47,487,D1,Current,CA,10+ years,rent,50043,1,14.7,10,16,10.0,6,10506,68.3,0,0,0,1
38,1821279,2124878,3/28/2016,debtconsolidation,0.0,17101.0,60 months,18.01,434,D3,Default,SC,1 year,mortgage,47946,1,27.06,9,9,5.0,5,14027,75.35,15,0,0,1
39,1400739,2747724,7/9/2014,debtconsolidation,0.0,38541.0,36 months,7.08,1191,B1,Current,CA,6-9 years,rent,51151,1,20.05,1,13,11.0,5,13846,98.46,0,0,0,0
40,1648935,2547651,5/20/2014,debtconsolidation,0.0,18168.0,36 months,8.61,574,C1,Current,ND,10+ years,rent,58704,1,14.88,6,8,4.0,3,17810,68.84,0,10,9,3
41,1183143,2382724,10/16/2015,debtconsolidation,0.0,16314.0,60 months,13.74,377,A1,Current,RI,1 year,own,51283,1,25.62,19,15,11.0,7,17283,79.25,0,0,0,0
42,1041855,2428982,7/6/2015,debtconsolidation,0.0,18038.0,36 months,15.95,634,A3,Current,IA,6-9 years,own,54967,1,19.82,13,12,12.0,6,12430,36.21,0,0,0,1
43,1891878,2248022,2/25/2016,debtconsolidation,0.0,23785.0,36 months,13.1,803,B3,Default,DC,< 1 year,mortgage,51844,1,21.72,10,17,15.0,11,12544,77.54,0,0,0,0
44,1859166,2596320,1/24/2016,debtconsolidation,0.0,15555.0,60 months,8.53,319,C3,Current,FL,6-9 years,rent,56343,1,19.76,25,21,15.0,13,13389,39.47,0,16,13,3
45,1745194,2178405,3/13/2015,debtconsolidation,0.0,15893.0,60 months,5.8,306,A2,Current,SD,2-5 years,own,50920,0,18.38,28,15,12.0,12,17370,42.2,0,0,0,13
46,1278227,2874143,7/15/2014,debtconsolidation,0.0,15053.0,48 months,11.35,392,A3,Current,OR,6-9 years,own,53315,1,18.0,5,17,15.0,5,12771,66.05,0,0,0,0
47,1632056,2081141,7/20/2015,debtconsolidation,0.0,21261.0,36 months,5.47,642,C2,Current,NJ,1 year,mortgage,52260,0,16.09,7,12,10.0,8,14875,56.31,0,0,0,0
48,1821446,2377140,11/30/2014,debtconsolidation,0.0,20606.0,60 months,14.36,483,C3,Current,OK,< 1 year,mortgage,59083,1,20.25,5,11,10.0,9,13076,62.33,0,0,0,0
49,1118072,2325160,7/21/2015,debtconsolidation,0.0,17746.0,36 months,15.11,616,B3,Current,MD,2-5 years,mortgage,58057,1,12.37,8,13,9.0,4,12165,64.29,0,0,0,0
50,1862826,2128416,5/10/2015,debtconsolidation,1.0,15742.0,60 months,16.49,387,B2,Current,NM,< 1 year,rent,54310,0,13.58,10,19,15.0,12,11288,74.72,0,0,0,1
51,1597110,2528729,9/12/2014,debtconsolidation,0.0,22857.0,48 months,8.6,564,B1,Current,DE,< 1 year,own,53980,0,11.17,6,6,4.0,3,13353,67.92,0,2,2,0
52,1329966,2722600,9/27/2014,debtconsolidation,0.0,18252.0,60 months,13.32,418,A1,Current,NC,2-5 years,rent,51060,1,19.5,10,14,13.0,12,14042,83.44,0,0,0,17
53,1106201,2192648,6/9/2015,debtconsolidation,0.0,21295.0,36 months,6.94,657,B1,Current,NC,10+ years,own,59147,0,25.04,31,13,7.0,3,18794,48.95,0,0,0,0
54,1366710,2439781,9/22/2014,debtconsolidation,0.0,26659.0,48 months,5.43,619,B3,Current,IN,1 year,rent,52014,0,18.64,21,12,7.0,5,17585,53.43,0,0,0,0
55,1267133,2876501,2/4/2015,debtconsolidation,0.0,14246.0,48 months,14.93,396,E3,Default,WY,< 1 year,rent,54799,0,22.16,3,15,11.0,10,13012,83.94,0,0,0,2
56,1460514,2680369,10/14/2014,debtconsolidation,0.0,25010.0,36 months,4.85,748,D1,Current,NV,10+ years,rent,59042,1,9.76,32,11,8.0,7,13381,61.76,0,20,14,0
57,1452559,2115974,3/8/2015,other,0.0,20348.0,48 months,9.46,511,C3,Current,KS,10+ years,rent,56498,0,26.4,6,19,10.0,10,14713,18.41,0,3,3,0
58,1374863,2027352,2/26/2016,debtconsolidation,0.0,17298.0,48 months,7.07,415,C1,Default,PA,6-9 years,own,52317,1,12.69,37,10,7.0,6,16751,77.44,15,11,11,3
59,1417847,2506824,10/21/2015,debtconsolidation,0.0,24332.0,36 months,12.99,820,A3,Current,NE,1 year,own,56432,1,7.51,21,8,8.0,4,12406,47.77,0,8,8,0
60,1404150,2364836,8/3/2014,debtconsolidation,0.0,19324.0,36 months,16.41,683,B3,Current,NY,10+ years,mortgage,49990,1,20.0,6,18,17.0,7,13943,69.9,0,0,0,18
61,1124304,2139134,3/21/2016,debtconsolidation,1.0,14888.0,48 months,10.29,380,C3,Current,NY,2-5 years,own,50799,1,17.85,2,12,6.0,4,15149,89.3,0,0,0,3
62,1312163,2763116,5/24/2014,debtconsolidation,0.0,13306.0,36 months,10.84,435,B3,Current,DC,< 1 year,mortgage,57267,1,15.85,5,15,14.0,14,13372,57.29,0,10,7,2
63,1397622,2544615,7/10/2014,debtconsolidation,0.0,22755.0,48 months,10.37,581,B3,Current,MO,1 year,rent,52637,1,17.9,9,23,15.0,14,15061,53.99,0,0,0,0
64,1659976,2603141,2/9/2015,debtconsolidation,0.0,22487.0,60 months,12.95,511,B1,Current,CT,10+ years,rent,50706,1,13.81,6,21,18.0,17,11783,57.02,7,5,5,2
65,1763524,2362834,12/30/2015,debtconsolidation,0.0,27739.0,36 months,11.35,913,B2,Current,RI,2-5 years,mortgage,52780,1,16.88,4,19,17.0,9,16950,57.38,0,5,4,0
66,1679646,2486530,8/15/2014,debtconsolidation,0.0,23014.0,36 months,9.0,732,E1,Default,MT,1 year,mortgage,53036,1,24.3,4,21,19.0,10,12349,100.0,0,0,0,0
67,1787421,2819505,3/5/2016,debtconsolidation,0.0,18389.0,60 months,9.12,383,A2,Current,DC,< 1 year,rent,55437,0,17.54,12,10,8.0,8,15004,67.51,0,0,0,0
68,1529692,2039730,2/16/2016,debtconsolidation,0.0,15546.0,36 months,9.55,498,A3,Current,GA,6-9 years,mortgage,54137,1,9.09,1,15,11.0,4,13123,61.62,0,0,0,0
69,1228418,2802726,1/30/2016,debtconsolidation,0.0,20876.0,48 months,7.08,501,B3,Current,TN,6-9 years,mortgage,60718,1,19.11,2,11,11.0,9,19205,79.7,0,0,0,0
70,1792225,2485748,5/7/2015,debtconsolidation,0.0,20658.52458734873,48 months,12.04,539,A1,Current,NV,10+ years,rent,56189,1,19.85,3,9,5.0,3,14696,67.33,0,3,2,3
71,1121413,2334079,10/25/2015,debtconsolidation,0.0,26719.0,60 months,12.55,602,B1,Current,AR,1 year,rent,57594,1,10.97,2,6,4.0,2,14892,56.93,0,5,3,0
72,1173780,2165688,4/11/2016,debtconsolidation,0.0,24191.0,36 months,11.67,800,A3,Current,ID,1 year,own,56329,1,18.23,5,13,12.0,4,14778,62.89,0,0,0,12
73,1839361,2135856,1/10/2015,debtconsolidation,0.0,20809.0,48 months,10.12,529,A2,Current,FL,1 year,own,57665,0,28.23,5,10,6.0,2,18377,65.83,0,0,0,0
74,1004328,2038569,12/26/2015,debtconsolidation,0.0,23961.0,48 months,18.06,705,B3,Current,AZ,10+ years,rent,50374,0,21.71,16,18,11.0,5,14594,56.97,0,1,1,1
75,1259188,2086107,12/1/2014,debtconsolidation,0.0,18419.0,36 months,7.67,574,C1,Current,TX,1 year,own,52517,1,14.55,2,10,10.0,9,10451,47.47,0,0,0,0
76,1496233,2635406,6/16/2014,debtconsolidation,0.0,27783.0,36 months,9.83,894,B2,Current,CA,6-9 years,own,53512,1,13.71,5,6,6.0,4,17802,63.54,0,9,7,0
77,1511056,2022052,6/28/2016,debtconsolidation,0.0,17611.0,48 months,13.22,474,C2,Current,OH,6-9 years,mortgage,49797,0,21.38,5,15,8.0,3,18549,76.13,0,0,0,1
78,1784502,2754509,6/1/2016,debtconsolidation,0.0,20210.0,36 months,15.42,705,E1,Default,MT,10+ years,own,51731,1,28.09,1,18,15.0,9,11173,84.03,1,1,1,12
79,1282668,2705784,4/26/2016,debtconsolidation,0.0,20619.0,60 months,6.82,407,A3,Current,IL,1 year,mortgage,55226,1,15.18,2,16,14.0,10,17871,82.63,0,0,0,0
80,1148214,2817484,11/23/2015,debtconsolidation,1.0,22471.0,60 months,8.16,457,B2,Current,NY,1 year,own,48993,1,24.48,5,16,10.0,5,12067,75.48,0,0,0,1
81,1074245,2457605,1/3/2016,debtconsolidation,0.0,25399.0,60 months,12.0,565,C2,Default,KS,1 year,own,50941,1,24.57,4,18,13.0,8,15538,49.09,0,0,0,0
82,1678804,2494253,2/10/2015,debtconsolidation,0.0,21516.0,48 months,6.02,506,D1,Current,DC,6-9 years,own,53599,0,14.84,38,13,12.0,10,15089,70.65,1,0,0,0
83,1440741,2586240,5/21/2015,debtconsolidation,0.0,20540.0,36 months,14.47,707,A1,Current,AR,1 year,rent,48602,1,17.33,3,11,8.0,3,13407,80.46,0,0,0,0
84,1356531,2088296,2/26/2015,debtconsolidation,0.0,22954.0,48 months,6.21,541,B2,Current,OK,2-5 years,own,52594,1,15.01,20,16,11.0,4,15004,68.27,0,0,0,10
85,1110618,2020813,7/30/2015,debtconsolidation,0.0,17632.0,60 months,21.71,484,A1,Current,CT,< 1 year,mortgage,55417,1,6.71,6,18,10.0,5,16629,59.22,0,0,0,1
86,1212080,2801338,9/25/2014,debtconsolidation,0.0,27035.0,60 months,12.86,613,A1,Current,OR,< 1 year,rent,55366,1,8.4,14,10,8.0,6,12950,67.73,0,0,0,2
87,1607199,2133247,9/5/2015,debtconsolidation,0.0,19063.0,48 months,7.3,459,A3,Current,WY,2-5 years,mortgage,56997,1,15.37,9,18,13.0,9,17485,77.9,0,0,0,0
88,1847742,2385783,2/25/2015,debtconsolidation,0.0,14893.0,48 months,19.68,451,A1,Current,MA,2-5 years,own,51417,1,11.34,18,16,9.0,3,19502,67.56,0,0,0,0
89,1475298,2616606,3/13/2016,healthcare,1.0,20059.0,60 months,6.83,396,A2,Current,TX,1 year,mortgage,52860,1,12.31,9,15,10.0,10,12841,69.58,13,1,1,0
90,1604702,2104950,11/24/2014,debtconsolidation,0.0,23908.0,60 months,17.96,607,E1,Current,KY,1 year,rent,57111,0,19.14,3,8,5.0,5,12087,63.55,3,0,0,1
91,1589565,2669176,5/14/2016,debtconsolidation,0.0,27863.0,36 months,10.13,901,D1,Current,FL,1 year,rent,56058,1,16.86,2,17,15.0,6,15637,45.06,0,11,7,0
92,1857895,2784757,11/19/2015,debtconsolidation,0.0,17615.0,48 months,9.25,440,C2,Current,AZ,10+ years,rent,59552,0,15.48,30,10,6.0,3,17185,36.22,0,0,0,0
93,1199447,2287939,9/28/2014,debtconsolidation,0.0,17629.0,60 months,8.04,358,E3,Current,NY,1 year,own,52687,1,20.61,2,20,14.0,13,15749,68.93,1,0,0,1
94,1133435,2006873,2/24/2015,debtconsolidation,0.0,16843.0,48 months,9.69,425,D3,Current,WA,10+ years,rent,52668,0,15.08,13,16,16.0,15,17178,83.56,0,0,0,0
95,1621876,2048201,7/23/2015,debtconsolidation,0.0,21924.0,60 months,10.09,467,B2,Current,CA,6-9 years,own,53009,1,19.15,6,17,15.0,7,16530,53.76,0,8,5,0
96,1006589,2217761,7/21/2014,debtconsolidation,0.0,21308.0,36 months,12.43,712,D3,Default,CT,< 1 year,own,56609,1,23.53,2,23,12.0,8,11471,57.23,0,0,0,0
97,1207714,2396779,1/28/2015,debtconsolidation,0.0,22198.0,36 months,17.27,794,A3,Current,IA,6-9 years,mortgage,52973,1,16.26,30,6,6.0,4,17888,51.89,0,18,11,0
98,1242583,2347527,12/12/2015,debtconsolidation,0.0,11436.0,60 months,11.65,252,D3,Current,MT,10+ years,mortgage,54389,1,15.95,6,19,15.0,7,17205,78.88,0,0,0,1
99,1474372,2675272,6/30/2015,debtconsolidation,0.0,21030.0,48 months,10.41,538,B3,Current,AZ,< 1 year,rent,52965,0,21.29,2,12,9.0,7,15929,57.67,0,0,0,2
100,1157659,2061047,12/2/2014,debtconsolidation,0.0,20888.0,36 months,9.82,672,A1,Current,AL,6-9 years,own,56011,1,22.75,5,9,8.0,6,15215,57.22,0,0,0,0
101,1762344,2074030,8/19/2015,homeimprovement,0.0,14817.0,48 months,7.94,361,C1,Current,WA,10+ years,mortgage,60631,1,12.08,36,17,13.0,10,15631,88.76,0,1,1,0
102,1425229,2566366,3/19/2016,homeimprovement,0.0,32954.0,60 months,11.25,721,C1,Current,NM,6-9 years,own,57139,1,18.28,2,18,9.0,3,13593,68.01,10,0,0,0
103,1632126,2696426,9/11/2015,debtconsolidation,0.0,17923.0,60 months,13.49,412,C2,Current,TX,10+ years,rent,52069,0,16.69,2,13,9.0,8,12803,37.96,0,0,0,0
104,1190415,2120634,6/11/2015,debtconsolidation,0.0,28597.0,48 months,12.35,758,C1,Current,NY,< 1 year,mortgage,60981,1,22.27,9,19,10.0,9,12904,51.55,1,0,0,0
105,1545569,2628619,11/4/2015,debtconsolidation,0.0,22523.0,60 months,10.07,479,B2,Current,IN,2-5 years,rent,54493,0,16.17,2,19,16.0,6,17475,66.81,13,0,0,2
106,1495337,2664825,2/5/2016,debtconsolidation,0.0,31399.0,36 months,11.78,1040,B3,Current,NE,6-9 years,mortgage,51664,0,6.63,6,15,12.0,7,14023,49.57,0,0,0,0
107,1594326,2570299,9/16/2014,debtconsolidation,0.0,19703.0,60 months,13.34,452,C3,Current,IL,6-9 years,rent,54918,1,22.81,7,21,15.0,14,20889,88.65,0,0,0,0
108,1658434,2239062,10/6/2015,debtconsolidation,0.0,18079.0,36 months,6.77,556,D3,Current,AL,< 1 year,mortgage,56754,1,22.17,39,9,5.0,2,12825,13.92,0,0,0,2
109,1010013,2150867,7/18/2015,healthcare,0.0,21483.0,36 months,5.59,650,A2,Current,NV,6-9 years,rent,56128,1,11.87,7,18,17.0,15,17282,73.44,0,0,0,1
110,1749922,2671080,1/2/2015,debtconsolidation,0.0,20645.0,48 months,15.4,579,A3,Current,DE,6-9 years,mortgage,55735,1,20.19,9,20,11.0,4,17274,60.31,0,0,0,2
111,1675806,2282344,10/19/2015,business,0.0,18890.0,48 months,12.43,501,B1,Current,FL,1 year,own,50408,1,6.51,9,21,16.0,7,16519,58.6,0,0,0,0
112,1541858,2503312,3/24/2016,debtconsolidation,0.0,23626.0,60 months,5.55,452,C1,Current,NC,10+ years,own,52887,0,20.22,20,15,9.0,4,7555,39.09,0,20,20,0
113,1438992,2709990,2/16/2015,debtconsolidation,0.0,19979.0,60 months,8.68,412,E3,Default,MI,< 1 year,own,53537,1,13.42,30,20,16.0,10,15509,66.53,0,1,1,1
114,1422023,2243325,11/14/2014,debtconsolidation,0.0,24596.0,48 months,16.92,709,C3,Current,AR,6-9 years,mortgage,61058,1,23.09,6,12,9.0,6,13951,53.74,0,0,0,1
115,1078206,2467546,5/17/2015,debtconsolidation,0.0,17001.0,36 months,5.2,511,A3,Current,FL,2-5 years,mortgage,60109,0,20.98,2,14,13.0,10,10150,78.18,0,0,0,5
116,1803474,2647605,3/2/2016,debtconsolidation,0.0,22083.0,36 months,7.21,684,C1,Current,IL,6-9 years,own,56489,0,14.89,9,9,8.0,7,14769,91.23,0,0,0,0
117,1770565,2709608,5/2/2016,education,0.0,21558.0,48 months,8.02,526,A3,Current,PA,10+ years,rent,53669,1,14.12,5,11,10.0,7,15130,52.26,0,0,0,3
118,1837924,2465153,2/25/2016,debtconsolidation,0.0,18981.0,36 months,6.54,582,C2,Current,NY,< 1 year,rent,56179,1,15.45,5,12,6.0,5,16970,68.22,0,0,0,0
119,1820872,2113181,6/27/2016,debtconsolidation,0.0,15040.0,60 months,15.05,358,A1,Current,GA,1 year,mortgage,56201,0,23.32,4,17,9.0,4,18464,75.19,1,0,0,1
120,1863260,2016402,6/2/2014,debtconsolidation,0.0,14857.0,36 months,6.0,452,B2,Current,VA,1 year,rent,53675,1,18.22,9,11,9.0,7,16683,49.12,0,0,0,0
121,1653711,2761176,2/15/2016,debtconsolidation,0.0,29952.0,48 months,12.77,800,B3,Current,FL,1 year,own,59719,0,20.08,38,5,5.0,4,14914,22.34,14,0,0,2
122,1804559,2054053,11/8/2014,debtconsolidation,0.0,15940.0,60 months,13.93,370,C1,Current,DC,1 year,own,54626,0,10.85,10,12,6.0,5,16730,54.73,0,0,0,0
123,1184008,2205299,12/20/2015,debtconsolidation,0.0,25811.0,60 months,14.06,883,D1,Current,CA,2-5 years,mortgage,55952,1,23.97,7,18,14.0,12,13916,68.21,0,0,0,0
124,1124517,2885299,2/11/2016,homeimprovement,0.0,16750.0,36 months,6.55,514,A2,Current,FL,1 year,rent,59295,1,16.97,6,20,14.0,11,17113,92.87,0,0,0,0
125,1356814,2168639,1/8/2016,business,0.0,24904.0,48 months,10.41,637,A1,Current,MN,6-9 years,mortgage,56538,1,19.7,9,15,12.0,6,15393,79.28,0,7,6,0
126,1573053,2020841,1/30/2015,healthcare,0.0,12519.0,36 months,9.85,403,D3,Current,FL,6-9 years,mortgage,54258,1,14.93,36,13,11.0,9,14597,68.04,0,0,0,0
127,1021803,2541489,7/16/2015,debtconsolidation,0.0,16867.0,36 months,11.65,557,A3,Current,SC,1 year,rent,56140,0,7.17,10,16,14.0,8,14342,86.44,0,6,5,1
128,1882240,2028287,8/4/2014,other,0.0,21464.0,48 months,6.38,508,E2,Current,IA,10+ years,mortgage,52679,1,16.85,7,20,19.0,10,12726,64.75,0,0,0,0
129,1242620,2592041,7/29/2014,debtconsolidation,0.0,23370.0,60 months,9.39,490,B3,Current,FL,1 year,rent,52869,1,22.76,4,13,9.0,7,16827,44.34,0,0,0,1
130,1330836,2372059,12/9/2014,debtconsolidation,0.0,14582.0,36 months,11.83,483,B3,Current,FL,2-5 years,mortgage,54418,1,9.89,1,19,11.0,7,13935,74.09,0,0,0,0
131,1247385,2485328,6/3/2015,debtconsolidation,0.0,26161.0,60 months,11.7,578,A3,Current,AL,6-9 years,rent,59298,1,12.01,2,21,19.0,14,18108,67.65,0,0,0,2
132,1198165,2283329,1/31/2015,business,0.0,27465.0,48 months,18.15,809,B1,Current,WA,6-9 years,mortgage,63152,0,16.38,4,18,14.0,9,15379,49.85,0,1,1,0
133,1201358,2075658,11/24/2015,other,0.0,24305.0,36 months,11.87,806,A1,Current,TN,2-5 years,rent,57378,1,23.6,8,17,14.0,6,13025,63.48,0,0,0,0
134,1024903,2695533,3/26/2016,debtconsolidation,0.0,26957.0,48 months,15.65,759,A2,Current,OH,6-9 years,rent,57287,1,25.61,5,19,15.0,14,13226,72.61,0,1,1,1
135,1392500,2669948,2/19/2015,debtconsolidation,0.0,23716.0,48 months,13.24,639,A2,Current,SD,< 1 year,rent,61362,1,11.1,10,18,14.0,7,14032,87.08,0,0,0,1
136,1860967,2540402,5/7/2016,debtconsolidation,0.0,28843.0,60 months,14.3,676,C1,Current,MS,6-9 years,own,53737,0,7.21,3,15,9.0,4,18702,34.6,0,0,0,0
137,1447605,2849528,10/6/2014,debtconsolidation,0.0,22562.0,48 months,4.81,518,E1,Default,WA,< 1 year,mortgage,50042,1,22.34,8,21,11.0,7,11742,65.56,9,0,0,0
138,1046150,2106318,1/23/2016,debtconsolidation,0.0,24394.0,60 months,8.01,495,A3,Current,CA,< 1 year,rent,55407,1,19.25,1,19,16.0,15,13270,75.12,0,0,0,1
139,1255771,2612954,1/25/2015,debtconsolidation,0.0,18580.0,60 months,7.38,371,A1,Current,DE,2-5 years,own,58066,1,18.59,1,11,10.0,7,14148,80.9,0,1,1,0
140,1281218,2740141,1/28/2015,debtconsolidation,0.0,28233.0,60 months,6.4,551,A2,Current,CA,10+ years,mortgage,56583,1,19.24,6,22,16.0,12,14238,79.23,0,0,0,1
141,1335266,2004048,6/18/2014,debtconsolidation,0.0,25129.0,60 months,5.22,477,B1,Current,CA,6-9 years,mortgage,53200,0,17.32,1,13,7.0,6,14879,58.17,0,0,0,0
